_repeat_id,_thread_id,delta_locs,avg_mcc,cnt_exact,cnt_interactions,cnt_wrong,avg_f,n_configs,wrong_locs
0,5,0,1.000000,27,27,0,1.000000,2291,,
1,7,0,1.000000,27,27,0,1.000000,2304,,
2,8,0,1.000000,27,27,0,1.000000,3034,,
3,6,0,1.000000,27,27,0,1.000000,2329,,
4,3,0,1.000000,27,27,0,1.000000,2507,,
5,4,0,1.000000,27,27,0,1.000000,2110,,
6,9,0,1.000000,27,27,0,1.000000,2514,,
7,2,0,1.000000,27,27,0,1.000000,2277,,
8,0,0,1.000000,27,27,0,1.000000,2290,,
9,1,0,1.000000,27,27,0,1.000000,2269,,
10,10,0,1.000000,27,27,0,1.000000,2832,,

MED,5,0,1,27,27,0,1,2304,nan,
SIR,3,0,0,0,0,0,0,118.5,nan,
MEAN,5,0,1,27,27,0,1,2432.45,nan,
