_repeat_id,_thread_id,delta_locs,avg_mcc,cnt_exact,cnt_interactions,cnt_wrong,avg_f,n_configs,wrong_locs
0,8,0,1.000000,17,17,0,1.000000,11484,,
1,7,0,1.000000,17,17,0,1.000000,11611,,
2,6,0,1.000000,17,17,0,1.000000,12966,,
3,9,0,1.000000,17,17,0,1.000000,11436,,
4,3,0,1.000000,17,17,0,1.000000,13231,,
5,10,0,1.000000,17,17,0,1.000000,12793,,
6,0,0,1.000000,17,17,0,1.000000,13910,,
7,2,0,1.000000,17,17,0,1.000000,12178,,
8,5,0,1.000000,17,17,0,1.000000,10925,,
9,4,0,1.000000,17,17,0,1.000000,12050,,
10,1,0,1.000000,17,17,0,1.000000,11586,,

MED,5,0,1,17,17,0,1,12050,nan,
SIR,3,0,0,0,0,0,0,741,nan,
MEAN,5,0,1,17,17,0,1,12197.3,nan,
MIN,0,0,1,17,17,0,1,10925,nan,
MAX,10,0,1,17,17,0,1,13910,nan,
