_repeat_id,_thread_id,delta_locs,avg_mcc,cnt_exact,cnt_interactions,cnt_wrong,avg_f,n_configs,wrong_locs
0,4,0,1.000000,17,17,0,1.000000,7583,,
1,6,0,1.000000,17,17,0,1.000000,7701,,
2,8,0,1.000000,17,17,0,1.000000,7643,,
3,9,0,1.000000,17,17,0,1.000000,7540,,
4,1,0,1.000000,17,17,0,1.000000,7702,,
5,10,0,1.000000,17,17,0,1.000000,7644,,
6,5,0,1.000000,17,17,0,1.000000,7708,,
7,3,0,1.000000,17,17,0,1.000000,7585,,
8,0,0,1.000000,17,17,0,1.000000,7697,,
9,7,0,1.000000,17,17,0,1.000000,7633,,
10,2,0,1.000000,17,17,0,1.000000,7645,,

MED,5,0,1,17,17,0,1,7644,nan,
SIR,3,0,0,0,0,0,0,58,nan,
MEAN,5,0,1,17,17,0,1,7643.73,nan,
