_repeat_id,_thread_id,delta_locs,avg_mcc,cnt_exact,cnt_interactions,cnt_wrong,avg_f,n_configs,wrong_locs
0,10,0,1.000000,33,33,0,1.000000,4419,,
1,0,0,1.000000,33,33,0,1.000000,4001,,
2,9,0,1.000000,33,33,0,1.000000,4875,,
3,3,0,1.000000,33,33,0,1.000000,2794,,
4,2,0,1.000000,33,33,0,1.000000,3287,,
5,1,0,1.000000,33,33,0,1.000000,3278,,
6,4,0,0.999960,32,33,1,0.999999,3282,join.c:1147 ,
7,5,0,1.000000,33,33,0,1.000000,5593,,
8,7,0,1.000000,33,33,0,1.000000,3561,,
9,6,0,1.000000,33,33,0,1.000000,4756,,
10,8,0,1.000000,33,33,0,1.000000,6368,,

MED,5,0,1,33,33,0,1,4001,nan,
SIR,3,0,0,0,0,0,0,796.5,nan,
MEAN,5,0,0.999996,32.9091,33,0.0909091,1,4201.27,nan,
MIN,0,0,0.99996,32,33,0,0.999999,2794,nan,
MAX,10,0,1,33,33,1,1,6368,nan,
