_repeat_id,_thread_id,delta_locs,avg_mcc,cnt_exact,cnt_interactions,cnt_wrong,avg_f,n_configs,wrong_locs
0,6,0,0.960000,24,25,1,0.999998,2079,ln.c:495 ,
1,7,0,0.960000,24,25,1,0.999998,2308,ln.c:495 ,
2,0,0,0.960000,24,25,1,0.999998,2143,ln.c:495 ,
3,8,0,0.960000,24,25,1,0.999998,2462,ln.c:495 ,
4,9,0,0.960000,24,25,1,0.999998,2063,ln.c:495 ,
5,4,0,0.960000,24,25,1,0.999998,2281,ln.c:495 ,
6,1,0,0.960000,24,25,1,0.999998,2290,ln.c:495 ,
7,10,0,0.960000,24,25,1,0.999998,2021,ln.c:495 ,
8,3,0,0.960000,24,25,1,0.999998,2301,ln.c:495 ,
9,2,0,0.960000,24,25,1,0.999998,2109,ln.c:495 ,
10,5,0,0.960000,24,25,1,0.999998,2074,ln.c:495 ,

MED,5,0,0.96,24,25,1,0.999998,2143,nan,
SIR,3,0,0,0,0,0,0,113.5,nan,
MEAN,5,0,0.96,24,25,1,0.999998,2193.73,nan,
MIN,0,0,0.96,24,25,1,0.999998,2021,nan,
MAX,10,0,0.96,24,25,1,0.999998,2462,nan,
