_repeat_id,_thread_id,delta_locs,avg_mcc,cnt_exact,cnt_interactions,cnt_wrong,avg_f,n_configs,wrong_locs
0,9,0,0.997552,20,21,1,0.997494,3985,mv.c:178 ,
1,5,0,0.997552,20,21,1,0.997494,5040,mv.c:178 ,
2,1,0,1.000000,21,21,0,1.000000,4918,,
3,10,0,1.000000,21,21,0,1.000000,4764,,
4,8,0,0.994964,20,21,1,0.994709,3551,mv.c:178 ,
5,0,0,0.982480,20,21,1,0.979592,2935,mv.c:178 ,
6,4,0,1.000000,21,21,0,1.000000,5095,,
7,6,0,1.000000,21,21,0,1.000000,4382,,
8,3,0,1.000000,21,21,0,1.000000,4827,,
9,2,0,1.000000,21,21,0,1.000000,5066,,
10,7,0,0.934861,19,21,2,0.979587,3311,mv.c:178 mv.c:367 ,

MED,5,0,1,21,21,0,1,4764,nan,
SIR,3,0,0.0025178,0.5,0,0.5,0.0026455,744.5,nan,
MEAN,5,0,0.991583,20.4545,21,0.545455,0.995352,4352.18,nan,
