_repeat_id,_thread_id,delta_locs,avg_mcc,cnt_exact,cnt_interactions,cnt_wrong,avg_f,n_configs,wrong_locs
0,5,0,0.999999,64,65,1,0.999999,43402,channel.c:458 ,
1,10,0,0.999997,64,65,1,0.999998,34748,channel.c:458 ,
2,9,0,0.999999,64,65,1,0.999999,43025,channel.c:458 ,
3,0,0,1.000000,65,65,0,1.000000,38791,,
4,4,0,0.999995,64,65,1,0.999995,44790,channel.c:458 ,
5,1,0,1.000000,65,65,0,1.000000,45509,,
6,6,0,0.999992,64,65,1,0.999993,56800,channel.c:1023 ,
7,2,0,0.999986,62,65,3,0.999988,49485,channel.c:1023 channel.c:458 client.c:328 ,
8,8,0,1.000000,65,65,0,1.000000,47243,,
9,7,0,0.999996,62,65,3,0.999997,46917,channel.c:1023 channel.c:458 client.c:328 ,
10,3,0,0.999999,64,65,1,0.999999,50725,channel.c:458 ,

MED,5,0,0.999999,64,65,1,0.999999,45509,nan,
SIR,3,0,2.55244e-06,0.5,0,0.5,2.32361e-06,3230,nan,
MEAN,5,0,0.999997,63.9091,65,1.09091,0.999997,45585,nan,
