_repeat_id,_thread_id,delta_locs,avg_mcc,cnt_exact,cnt_interactions,cnt_wrong,avg_f,n_configs,wrong_locs
0,5,0,0.999998,149,151,2,0.999998,190484,sort.c:3492 sort.c:3497 ,
1,2,0,0.999983,150,151,1,0.999983,150022,sort.c:2752 ,
2,3,0,1.000000,151,151,0,1.000000,259857,,
3,8,0,0.999925,150,151,1,0.999925,217308,sort.c:2888 ,
4,7,0,1.000000,151,151,0,1.000000,153513,,
5,9,0,1.000000,151,151,0,1.000000,243901,,
6,4,0,0.999999,150,151,1,0.999999,193291,sort.c:987 ,
7,6,0,0.999995,150,151,1,0.999995,186801,sort.c:3212 ,
8,10,0,1.000000,151,151,0,1.000000,152547,,
9,0,0,0.999986,150,151,1,0.999986,180509,sort.c:2616 ,
10,1,0,1.000000,151,151,0,1.000000,169872,,

MED,5,0,0.999999,150,151,1,0.999999,186801,nan,
SIR,3,0,7.00089e-06,0.5,0,0.5,6.98318e-06,31897.5,nan,
MEAN,5,0,0.99999,150.364,151,0.636364,0.99999,190737,nan,
