_repeat_id,_thread_id,delta_locs,avg_mcc,cnt_exact,cnt_interactions,cnt_wrong,avg_f,n_configs,wrong_locs
0,6,-1,0.924991,22,27,5,0.962245,265,uname.c:165 uname.c:202 !uname.c:278 uname.c:286 uname.c:290 ,
1,5,0,1.000000,27,27,0,1.000000,1381,,
2,3,-1,0.925095,22,27,5,0.962322,143,uname.c:165 uname.c:202 !uname.c:278 uname.c:286 uname.c:290 ,
3,8,-1,0.918875,21,27,6,0.957031,140,uname.c:165 uname.c:202 !uname.c:278 uname.c:286 uname.c:290 uname.c:371 ,
4,9,-1,0.919432,22,27,5,0.957542,152,uname.c:165 uname.c:202 !uname.c:278 uname.c:286 uname.c:290 ,
5,0,0,1.000000,27,27,0,1.000000,1101,,
6,1,0,1.000000,27,27,0,1.000000,1434,,
7,10,0,1.000000,27,27,0,1.000000,1035,,
8,2,0,0.999951,26,27,1,0.999963,784,uname.c:165 ,
9,7,-1,0.917498,21,27,6,0.956150,135,uname.c:165 uname.c:202 !uname.c:278 uname.c:286 uname.c:290 uname.c:298 ,
10,4,0,1.000000,27,27,0,1.000000,1009,,

MED,5,0,0.999951,26,27,1,0.999963,784,nan,
SIR,3,0.5,0.0402842,2.5,0,2.5,0.021229,479,nan,
MEAN,5,-0.454545,0.964167,24.4545,27,2.54545,0.981387,689,nan,
