_repeat_id,_thread_id,n_configs,n_locs,t_search,t_total,cnt_singular,cnt_and,cnt_or,cnt_mixed,cnt_pure,cnt_mix_ok,cnt_mix_fail,cnt_total,hash,iter,n_cache_hit,n_locs_total,n_locs_uniq,repeat_id,t_runner,t_runner_total
0,6,38292,1437,25,5039,35,11,1,113,47,46,67,160,9e739214640278c7d57394d547de46e1,225,19,2421,160,0,5014,168184,
1,10,38317,1437,29,5273,35,11,1,113,47,46,67,160,fbfab534c22d8027621d3a6e0537b9cb,226,19,2421,160,1,5244,172836,
2,5,38584,1437,26,5195,35,11,1,113,47,46,67,160,82255067215b5a3f86fee872cafcb122,229,19,2421,160,2,5169,171521,
3,9,35470,1437,29,4937,35,11,1,113,47,46,67,160,c0e1ac7592559ad2fdb59c247ccd1105,230,18,2421,160,3,4908,165500,
4,7,45305,1437,21,5670,35,11,1,113,47,46,67,160,64ab20ae1f3c92a18d8a3c867dabb8ab,187,21,2421,160,4,5649,176047,
5,8,38345,1437,33,5332,35,11,1,113,47,46,67,160,9d41d6161239824a03b136ffd326df79,238,20,2421,160,5,5299,173739,
6,2,41448,1437,27,5339,35,11,1,113,47,46,67,160,172ca247a54d372e01a291adc2d2ed67,240,20,2421,160,6,5312,173819,
7,0,36827,1437,13,4693,35,11,1,113,47,46,67,160,0b274f5193550fb9adc75a7c48220afb,82,16,2421,160,7,4680,157303,
8,3,37618,1437,15,4818,35,11,1,113,47,46,67,160,cfa0923eab52cea66e258f0e84c37533,119,16,2421,160,8,4803,161695,
9,4,35720,1437,25,4982,35,11,1,113,47,46,67,160,608507ad4d320f6ce8e4682e4becad0c,122,18,2421,160,9,4957,166708,
10,1,44297,1437,30,5632,35,11,1,113,47,46,67,160,44c09caef718914773babad5c889afac,237,21,2421,160,10,5602,175900,

MED,5,38317,1437,26,5195,35,11,1,113,47,46,67,160,nan,226,19,2421,160,5,5169,171521,
SIR,3,2310.5,0,4,201,0,0,0,0,0,0,0,0,nan,57.5,1,0,0,3,202,4159.5,
MEAN,5,39111.2,1437,24.8182,5173.64,35,11,1,113,47,46,67,160,nan,194.091,18.8182,2421,160,5,5148.82,169387,
MIN,0,35470,1437,13,4693,35,11,1,113,47,46,67,160,nan,82,16,2421,160,0,4680,157303,
MAX,10,45305,1437,33,5670,35,11,1,113,47,46,67,160,nan,240,21,2421,160,10,5649,176047,
