_repeat_id,_thread_id,n_configs,n_locs,t_search,t_total,cnt_singular,cnt_and,cnt_or,cnt_mixed,cnt_pure,cnt_mix_ok,cnt_mix_fail,cnt_total,hash,iter,n_cache_hit,n_locs_total,n_locs_uniq,repeat_id,t_runner,t_runner_total
0,4,1514,205,0,1,12,7,1,7,20,6,1,27,7db00e35b3e8edd3c74656a4642c42e8,13,12191,266,27,0,1,22,
1,5,1481,205,0,1,12,7,1,7,20,6,1,27,624b31a657305c668ac06c1ac8a55a51,11,11308,266,27,1,1,21,
2,6,1924,205,0,1,12,7,1,7,20,6,1,27,fa6ca887342b00505aa395c50d8268f9,11,14066,266,27,2,1,22,
3,7,1724,205,0,1,12,7,1,7,20,6,1,27,85dbdb36f9b77db878c7e029e92a850e,16,13177,266,27,3,1,22,
4,8,1664,205,0,1,12,7,1,7,20,6,1,27,407835515750841728f868667f960642,14,13082,266,27,4,1,22,
5,10,1455,205,0,1,12,7,1,7,20,6,1,27,9aca2391dbb4c0cd011c90930205f400,11,11517,266,27,5,1,21,
6,9,1690,205,0,1,12,7,1,7,20,6,1,27,8a0d88f246a091b0376cc4cb22a2a1eb,13,13517,266,27,6,1,22,
7,1,1572,205,0,1,12,7,1,7,20,6,1,27,dc1366812cd1c672737e3a0af08594af,10,12592,266,27,7,1,22,
8,3,2011,205,0,1,12,7,1,7,20,6,1,27,6a2c2fffa9d9074bfd6282e445958933,16,14108,266,27,8,1,22,
9,2,1660,205,0,1,12,7,1,7,20,6,1,27,9bd19c365c446627e8247bcfb4eb2808,12,13044,266,27,9,1,22,
10,0,1506,205,0,1,12,7,1,7,20,6,1,27,3ba8c9099f52b79889cd1b32d579efbf,11,12545,266,27,10,1,22,

MED,5,1660,205,0,1,12,7,1,7,20,6,1,27,nan,12,13044,266,27,5,1,22,
SIR,3,109,0,0,0,0,0,0,0,0,0,0,0,nan,1.5,663,0,0,3,0,0,
MEAN,5,1654.64,205,0,1,12,7,1,7,20,6,1,27,nan,12.5455,12831.5,266,27,5,1,21.8182,
MIN,0,1455,205,0,1,12,7,1,7,20,6,1,27,nan,10,11308,266,27,0,1,21,
MAX,10,2011,205,0,1,12,7,1,7,20,6,1,27,nan,16,14108,266,27,10,1,22,
