_repeat_id,_thread_id,n_configs,n_locs,t_search,t_total,cnt_singular,cnt_and,cnt_or,cnt_mixed,cnt_pure,cnt_mix_ok,cnt_mix_fail,cnt_total,hash,iter,n_cache_hit,n_locs_total,n_locs_uniq,repeat_id,t_runner,t_runner_total
0,6,13812,1147,611,10314,3,35,1,20,39,19,1,59,1f2e73cdff330cc0798afc5afa001186,12,918,5072,59,0,9703,589862,
1,0,13857,1147,612,10316,3,35,1,20,39,19,1,59,1d91bc5bd8ef53143848fc5e103f9e65,12,918,5072,59,1,9704,589891,
2,7,12278,1147,615,9494,3,35,1,20,39,19,1,59,8f929f8d87198d6265dbd39961d42086,10,813,5072,59,2,8879,561798,
3,10,11950,1147,613,9254,3,35,1,20,39,19,1,59,7bc1508c4091ec7a60d07d83a71a41be,10,776,5072,59,3,8641,549909,
4,1,15002,1147,612,10703,3,35,1,20,39,19,1,59,c92a4e25458c21d5638528c018b47513,13,939,5072,59,4,10091,592743,
5,3,13742,1147,613,10284,3,35,1,20,39,19,1,59,3c557d2fd6ce0a7a67af7c650a1a0d49,12,914,5072,59,5,9671,589096,
6,2,11926,1147,612,9237,3,35,1,20,39,19,1,59,e69c957d3ff3d6462a9bb1547dcca468,10,776,5072,59,6,8625,548867,
7,4,11881,1147,613,9208,3,35,1,20,39,19,1,59,c1adf1aa83a62cc9eda86ee6d439cd1c,10,767,5072,59,7,8595,547022,
8,5,12284,1147,610,9472,3,35,1,20,39,19,1,59,c87da8ec601d2a9d879685d36e38c3c5,10,808,5072,59,8,8862,560952,
9,8,12030,1147,612,9321,3,35,1,20,39,19,1,59,8ed23788019c99dc65ee8c86715f0483,10,784,5072,59,9,8709,553740,
10,9,13811,1147,610,10299,3,35,1,20,39,19,1,59,170a093505961dec04aeda003cfd68e3,12,916,5072,59,10,9689,589543,

MED,5,12284,1147,612,9494,3,35,1,20,39,19,1,59,nan,10,813,5072,59,5,8879,561798,
SIR,3,931,0,1,530,0,0,0,0,0,0,0,0,nan,1,71,0,0,3,531,19976.5,
MEAN,5,12961.2,1147,612.091,9809.27,3,35,1,20,39,19,1,59,nan,11,848.091,5072,59,5,9197.18,570311,
MIN,0,11881,1147,610,9208,3,35,1,20,39,19,1,59,nan,10,767,5072,59,0,8595,547022,
MAX,10,15002,1147,615,10703,3,35,1,20,39,19,1,59,nan,13,939,5072,59,10,10091,592743,
