_repeat_id,_thread_id,n_configs,n_locs,t_search,t_total,cnt_singular,cnt_and,cnt_or,cnt_mixed,cnt_pure,cnt_mix_ok,cnt_mix_fail,cnt_total,hash,iter,n_cache_hit,n_locs_total,n_locs_uniq,repeat_id,t_runner,t_runner_total
0,6,11484,125,4,7,2,3,2,10,7,0,10,17,d397bdb2689ddfac92bb4435f2c0c751,31,110212,198,17,0,3,229,
1,7,11611,125,3,6,2,3,2,10,7,0,10,17,208afe995aa3d6a17414ab72e732c82e,45,105073,198,17,1,3,229,
2,8,12966,125,6,9,2,3,2,10,7,0,10,17,2b87221da1a08f33d1bac50506bdbb23,43,115927,198,17,2,3,229,
3,9,11436,125,4,7,2,3,2,10,7,0,10,17,68950f97af4b9cca42918b9bd6016317,37,111307,198,17,3,3,229,
4,0,13231,125,7,10,2,3,2,10,7,0,10,17,25eb7c7b76034d2e38088e424b009e62,40,116194,198,17,4,3,229,
5,10,12793,125,6,9,2,3,2,10,7,0,10,17,daceb5911f98243d7f7da9ab31465b1f,42,115057,198,17,5,3,229,
6,3,13910,125,7,10,2,3,2,10,7,0,10,17,846a7f78432a86c706382529b8da82bc,48,116257,198,17,6,3,229,
7,4,12178,125,6,9,2,3,2,10,7,0,10,17,2451a5f089606074654df5c15bd806fc,60,114970,198,17,7,3,229,
8,5,10925,125,2,5,2,3,2,10,7,0,10,17,12a6019a1609de9fd069b9bdd90e2632,27,97926,198,17,8,3,229,
9,2,12050,125,4,7,2,3,2,10,7,0,10,17,c1a2e9cf8259af38e938438dfdd36472,35,110609,198,17,9,3,229,
10,1,11586,125,4,7,2,3,2,10,7,0,10,17,d09b47b1c4ecd7245a038692af3ffeec,51,109598,198,17,10,3,229,

MED,5,12050,125,4,7,2,3,2,10,7,0,10,17,nan,42,111307,198,17,5,3,229,
SIR,3,741,0,1,1,0,0,0,0,0,0,0,0,nan,6.5,3164.5,0,0,3,0,0,
MEAN,5,12197.3,125,4.81818,7.81818,2,3,2,10,7,0,10,17,nan,41.7273,111194,198,17,5,3,229,
MIN,0,10925,125,2,5,2,3,2,10,7,0,10,17,nan,27,97926,198,17,0,3,229,
MAX,10,13910,125,7,10,2,3,2,10,7,0,10,17,nan,60,116257,198,17,10,3,229,
