_repeat_id,_thread_id,n_configs,n_locs,t_search,t_total,cnt_singular,cnt_and,cnt_or,cnt_mixed,cnt_pure,cnt_mix_ok,cnt_mix_fail,cnt_total,hash,iter,n_cache_hit,n_locs_total,n_locs_uniq,repeat_id,t_runner,t_runner_total
0,4,2068,332,0,114,3,5,0,9,8,9,0,17,645bd03c97da6f59235471f7ada32993,12,51,548,17,0,114,4327,
1,10,1794,332,0,101,3,5,0,9,8,9,0,17,39cdd95b76638420405f9bd424f2e392,10,45,548,17,1,101,4117,
2,6,2075,332,1,115,3,5,0,9,8,9,0,17,3a68f1c51499e9790f9a6f5a3e1c9de4,13,51,548,17,2,114,4328,
3,7,2058,332,0,114,3,5,0,9,8,9,0,17,72d86d3fb2115d9ac7ecda14859838b4,12,51,548,17,3,114,4323,
4,8,1831,332,0,103,3,5,0,9,8,9,0,17,b3947b33e2871226e2e5f2a8c74d2916,10,49,548,17,4,103,4165,
5,9,1828,332,0,103,3,5,0,9,8,9,0,17,43e1a982d64f491d6b41fdb8668f3e1f,10,49,548,17,5,103,4157,
6,0,1810,332,0,102,3,5,0,9,8,9,0,17,cf7ad68bc5da9d22687b79bd31c1efe5,10,47,548,17,6,102,4133,
7,1,1823,332,0,103,3,5,0,9,8,9,0,17,0a9c0aac91f1a7f3a499c8b8c88e494a,10,49,548,17,7,103,4159,
8,2,1783,332,1,101,3,5,0,9,8,9,0,17,65a8ffa83fd934c8c63d4fef4c1a1f68,10,45,548,17,8,100,4095,
9,3,1780,332,1,101,3,5,0,9,8,9,0,17,b231dffe6134a03b779e6f1fe685e91e,10,45,548,17,9,100,4091,
10,5,2054,332,0,113,3,5,0,9,8,9,0,17,5fa5b42113f25b40aa627147ac30b1d8,12,51,548,17,10,113,4320,

MED,5,1828,332,0,103,3,5,0,9,8,9,0,17,nan,10,49,548,17,5,103,4159,
SIR,3,132,0,0.5,6.5,0,0,0,0,0,0,0,0,nan,1,3,0,0,3,6.5,103,
MEAN,5,1900.36,332,0.272727,106.364,3,5,0,9,8,9,0,17,nan,10.8182,48.4545,548,17,5,106.091,4201.36,
MIN,0,1780,332,0,101,3,5,0,9,8,9,0,17,nan,10,45,548,17,0,100,4091,
MAX,10,2075,332,1,115,3,5,0,9,8,9,0,17,nan,13,51,548,17,10,114,4328,
