_repeat_id,_thread_id,n_configs,n_locs,t_search,t_total,cnt_singular,cnt_and,cnt_or,cnt_mixed,cnt_total,hash,iter,n_cache_hit,n_locs_total,n_locs_uniq,repeat_id,t_runner,t_runner_total
0,9,7583,332,1,331,3,5,0,9,17,50fef1d9b11fb0e2f75b59420fbd3120,10,0,548,17,0,330,3296,
1,1,7701,332,1,333,3,5,0,9,17,47d5422c02d2382ea568c9d185db5f9e,10,0,548,17,1,332,3316,
2,3,7643,332,0,324,3,5,0,9,17,c73c0f8151d74e0cd1851fdd5280d49f,10,0,548,17,2,324,6532,
3,4,7540,332,1,323,3,5,0,9,17,92c51186443ad84f50e0bb9ba79d75d4,10,0,548,17,3,322,6535,
4,2,7702,332,0,320,3,5,0,9,17,d12bf4b1d3a9ba50b314dee524656881,10,0,548,17,4,320,9722,
5,10,7644,332,0,318,3,5,0,9,17,26f7c218b65348a3ea7156aabb70e458,10,0,548,17,5,318,9708,
6,0,7708,332,0,317,3,5,0,9,17,f85617906e08e9cffc920707c868d842,10,0,548,17,6,317,12867,
7,5,7585,332,0,315,3,5,0,9,17,39871020cd438dde6e4df77da71c558c,10,0,548,17,7,315,12865,
8,6,7697,332,0,307,3,5,0,9,17,2b810257264f0cef8099c6e96e6d37c0,10,0,548,17,8,307,15926,
9,7,7633,332,0,306,3,5,0,9,17,ceb3450f035c2b294f46d2efde2e635a,10,0,548,17,9,306,15921,
10,8,7645,332,0,186,3,5,0,9,17,a47fb5d7f4bdaabc8195cc8a3d2a075a,10,0,548,17,10,186,17434,

MED,5,7644,332,0,318,3,5,0,9,17,nan,10,0,548,17,5,318,9722,
SIR,3,58,0,0.5,8.5,0,0,0,0,0,nan,0,0,0,0,3,8.5,4694.5,
MEAN,5,7643.73,332,0.272727,307.273,3,5,0,9,17,nan,10,0,548,17,5,307,10374.7,
