_repeat_id,_thread_id,n_configs,n_locs,t_search,t_total,cnt_singular,cnt_and,cnt_or,cnt_mixed,cnt_pure,cnt_mix_ok,cnt_mix_fail,cnt_total,hash,iter,n_cache_hit,n_locs_total,n_locs_uniq,repeat_id,t_runner,t_runner_total
0,5,755,150,0,0,3,17,1,11,21,2,9,32,23e0bda40c44c8561dd35eb52ed829b1,13,4166,203,32,0,0,5,
1,6,641,150,0,0,3,17,1,11,21,2,9,32,ce9e57bf248254e4ef7d6a0865410176,13,4023,203,32,1,0,5,
2,8,484,150,0,0,3,17,1,11,21,2,9,32,df2c2d96d78b409b336052d538486e58,9,3418,203,32,2,0,5,
3,0,617,150,0,0,3,17,1,11,21,2,9,32,10f994383f699a23f43b19136fbe732b,15,4021,203,32,3,0,5,
4,10,622,150,0,0,3,17,1,11,21,2,9,32,63607952bb3a6489cfcc3f522b46cdc2,11,3997,203,32,4,0,5,
5,1,79,64,0,0,3,9,0,0,12,0,0,12,43049818e040bec0b14b0a0f593492b3,3,276,203,12,5,0,3,
6,9,595,150,0,0,3,17,1,11,21,2,9,32,a8397438e5ed9e9fc388ae5ef84a212b,12,3737,203,32,6,0,5,
7,2,84,149,0,0,3,11,0,2,14,1,1,16,c84153a5a4a021d545420c595ba12d42,3,283,203,16,7,0,3,
8,3,87,115,0,0,3,9,0,2,12,0,2,14,6dcd77f90626113b2ef2fd2aaa13c86c,3,262,203,14,8,0,3,
9,4,643,150,0,0,3,17,1,11,21,2,9,32,7c7b812ceff3bc79a6b7dea1e206e85f,9,4012,203,32,9,0,5,
10,7,609,150,0,0,3,17,1,11,21,2,9,32,c17f767e805b28e27c243f4df63f2e4a,12,3863,203,32,10,0,5,

MED,5,609,150,0,0,3,17,1,11,21,2,9,32,nan,11,3863,203,32,5,0,5,
SIR,3,277,0.5,0,0,0,3,0.5,4.5,3.5,0.5,3.5,8,nan,5,1869,0,8,3,0,1,
MEAN,5,474.182,138.909,0,0,3,15,0.727273,8.36364,18.7273,1.54545,6.81818,27.0909,nan,9.36364,2914.36,203,27.0909,5,0,4.45455,
MIN,0,79,64,0,0,3,9,0,0,12,0,0,12,nan,3,262,203,12,0,0,3,
MAX,10,755,150,0,0,3,17,1,11,21,2,9,32,nan,15,4166,203,32,10,0,5,
