_repeat_id,_thread_id,n_configs,n_locs,t_search,t_total,cnt_singular,cnt_and,cnt_or,cnt_mixed,cnt_pure,cnt_mix_ok,cnt_mix_fail,cnt_total,hash,iter,n_cache_hit,n_locs_total,n_locs_uniq,repeat_id,t_runner,t_runner_total
0,7,4419,365,1,5,4,17,2,10,23,3,7,33,df84ce627c3fd5cb5294c83d3a220270,18,25777,502,33,0,4,153,
1,6,4001,365,0,4,4,17,2,10,23,3,7,33,e4efedf1f3bb2d7beb34e2f1d16f1c1c,17,24161,502,33,1,4,152,
2,8,4875,365,1,5,4,16,2,11,22,3,8,33,d19b67ca3ee20db6850a2c9a44410871,20,27907,502,33,2,4,155,
3,2,2794,365,1,4,4,17,2,10,23,3,7,33,43014e3aa48b48ff74b3f25119176c52,14,16231,502,33,3,3,143,
4,0,3287,365,0,4,4,17,2,10,23,3,7,33,f32b3a1d7f3b182ea5effc65556a1f9c,14,20230,502,33,4,4,149,
5,3,3278,365,0,4,4,17,2,10,23,3,7,33,3d5e9df516008f57ce0d22a7a34ef687,11,19904,502,33,5,4,148,
6,4,3282,365,0,4,4,17,2,10,23,3,7,33,e72709c74885ffb6765bc0c102decb0f,17,20574,502,33,6,4,149,
7,9,5593,365,1,6,4,17,2,10,23,3,7,33,cbd1f7532933d4e23ee6c639f5e98fc6,22,28716,502,33,7,5,155,
8,10,3561,365,0,4,4,17,2,10,23,3,7,33,ad745937ffa6583cc4ceb1ba102b4814,13,21719,502,33,8,4,150,
9,5,4756,365,1,5,4,16,2,11,22,3,8,33,60843a7a4431d0cc218432b2b7e86952,16,26770,502,33,9,4,154,
10,1,6368,365,1,6,4,16,2,11,22,3,8,33,7290bf613bc25f2af4d597365931d9aa,22,29489,502,33,10,5,156,

MED,5,4001,365,1,4,4,17,2,10,23,3,7,33,nan,17,24161,502,33,5,4,152,
SIR,3,796.5,0,0.5,0.5,0,0.5,0,0.5,0.5,0,0.5,0,nan,3,3838.5,0,0,3,0,3,
MEAN,5,4201.27,365,0.545455,4.63636,4,16.7273,2,10.2727,22.7273,3,7.27273,33,nan,16.7273,23770.7,502,33,5,4.09091,151.273,
MIN,0,2794,365,0,4,4,16,2,10,22,3,7,33,nan,11,16231,502,33,0,3,143,
MAX,10,6368,365,1,6,4,17,2,11,23,3,8,33,nan,22,29489,502,33,10,5,156,
