_repeat_id,_thread_id,n_configs,n_locs,t_search,t_total,cnt_singular,cnt_and,cnt_or,cnt_mixed,cnt_pure,cnt_mix_ok,cnt_mix_fail,cnt_total,hash,iter,n_cache_hit,n_locs_total,n_locs_uniq,repeat_id,t_runner,t_runner_total
0,3,2079,171,0,2,10,7,2,5,19,3,2,24,c88003d074e700ab3b1f01d746e7389d,6,13916,276,24,0,2,93,
1,9,2308,171,0,2,10,7,2,5,19,3,2,24,c3c3d81816725872a87f2fd2376f58f3,7,14599,276,24,1,2,93,
2,5,2143,171,0,2,10,7,2,5,19,3,2,24,c93b7482fe7b82456915da62d208c1f5,6,14183,276,24,2,2,93,
3,6,2462,171,0,2,10,7,2,5,19,3,2,24,e027960fe851f3720988f912d619215c,8,14768,276,24,3,2,93,
4,1,2063,171,0,2,10,7,2,5,19,3,2,24,f09acb60680b8aee92fafbb82c4fcb14,6,13253,276,24,4,2,93,
5,8,2281,171,0,2,10,7,2,5,19,3,2,24,5989afb7cef0b8fb4f1859d53d2d88c3,7,14213,276,24,5,2,93,
6,4,2290,171,0,2,10,7,2,5,19,3,2,24,0f8b9e9e13777e82b67c00772aaa0b9f,8,14413,276,24,6,2,93,
7,2,2021,171,0,2,10,7,2,5,19,3,2,24,9cf7c268febcc242ba037f7610ee9ca3,6,12911,276,24,7,2,92,
8,7,2301,171,0,2,10,7,2,5,19,3,2,24,2ae9e671768d0ea297fcae88025715a4,8,14183,276,24,8,2,93,
9,10,2109,171,0,2,10,7,2,5,19,3,2,24,5bbcfa72cefcae090b05ad2f42c8f697,6,12844,276,24,9,2,92,
10,0,2074,171,0,2,10,7,2,5,19,3,2,24,5b18428f9a36a6380ab46cc575398379,6,13563,276,24,10,2,93,

MED,5,2143,171,0,2,10,7,2,5,19,3,2,24,nan,6,14183,276,24,5,2,93,
SIR,3,113.5,0,0,0,0,0,0,0,0,0,0,0,nan,1,580,0,0,3,0,0,
MEAN,5,2193.73,171,0,2,10,7,2,5,19,3,2,24,nan,6.72727,13895.1,276,24,5,2,92.8182,
MIN,0,2021,171,0,2,10,7,2,5,19,3,2,24,nan,6,12844,276,24,0,2,92,
MAX,10,2462,171,0,2,10,7,2,5,19,3,2,24,nan,8,14768,276,24,10,2,93,
