_repeat_id,_thread_id,n_configs,n_locs,t_search,t_total,cnt_singular,cnt_and,cnt_or,cnt_mixed,cnt_pure,cnt_mix_ok,cnt_mix_fail,cnt_total,hash,iter,n_cache_hit,n_locs_total,n_locs_uniq,repeat_id,t_runner,t_runner_total
0,5,123189,1289,30,604,46,40,1,106,87,9,97,193,c1ae1cdfdba3274c7b4c41acdda0d910,59,0,2104,193,0,574,36885,
1,6,108543,1289,31,564,46,40,1,106,87,9,97,193,4d1c7287ba072e00921534a63a432114,69,0,2104,193,1,533,35053,
2,8,112566,1289,30,578,46,40,1,106,87,9,97,193,3570e3753df080a067d381b203c037db,64,0,2104,193,2,548,35856,
3,10,102158,1289,31,545,46,40,1,106,87,9,97,193,5622512fd33ef8c80a6d67a22f1867a3,75,0,2104,193,3,514,33912,
4,7,133979,1289,39,634,46,40,1,106,87,9,97,193,dddacb92f15e588a1a3428ff71ba7795,84,0,2104,193,4,595,37862,
5,1,96054,1289,29,511,46,40,1,106,87,9,97,193,357e00af6457cc3985f9ed1a933c7218,68,0,2104,193,5,482,31821,
6,9,154869,1289,40,676,46,40,1,106,87,9,97,193,68b59ec1be45f7ebbf47942336e8b3b4,84,0,2104,193,6,636,38873,
7,2,173482,1289,37,711,46,40,1,106,87,9,97,193,dfb512274d9acecbfed8756bd99fdc09,84,0,2104,193,7,674,39431,
8,3,200298,1289,47,767,46,40,1,106,87,9,97,193,06a3fd0a467d1f3e66cefce8e9f7cd24,112,0,2104,193,8,720,39891,
9,4,100935,1289,28,533,46,40,1,106,87,9,97,193,e7cde71bf867ae72bef4484036b722cb,41,0,2104,193,9,505,33170,
10,0,112489,1289,32,579,46,40,1,106,87,9,97,193,eb6afc782e05dbd3ae54f1fba01bb405,67,0,2104,193,10,547,35878,

MED,5,112566,1289,31,579,46,40,1,106,87,9,97,193,nan,69,0,2104,193,5,548,35878,
SIR,3,26355.5,0,4.5,65.5,0,0,0,0,0,0,0,0,nan,10,0,0,0,3,61,2480.5,
MEAN,5,128960,1289,34,609.273,46,40,1,106,87,9,97,193,nan,73.3636,0,2104,193,5,575.273,36239.3,
MIN,0,96054,1289,28,511,46,40,1,106,87,9,97,193,nan,41,0,2104,193,0,482,31821,
MAX,10,200298,1289,47,767,46,40,1,106,87,9,97,193,nan,112,0,2104,193,10,720,39891,
