_repeat_id,_thread_id,n_configs,n_locs,t_search,t_total,cnt_singular,cnt_and,cnt_or,cnt_mixed,cnt_pure,cnt_mix_ok,cnt_mix_fail,cnt_total,hash,iter,n_cache_hit,n_locs_total,n_locs_uniq,repeat_id,t_runner,t_runner_total
0,5,4667,167,6,7,9,3,3,6,15,2,4,21,d54301efffc054ef28f58acfb6669d6a,61,44489,229,21,0,1,45,
1,4,4179,167,3,4,9,3,3,6,15,2,4,21,cf43de070beb77832a8dfe2652df22de,57,39050,229,21,1,1,45,
2,6,4449,167,5,6,9,3,3,6,15,2,4,21,02409809415605428c4b3bd1f898be8f,50,43399,229,21,2,1,45,
3,7,4494,167,6,7,9,3,3,6,15,2,4,21,bc4021a440f86251f5174caaf1210980,54,44149,229,21,3,1,45,
4,8,4532,167,5,6,9,3,3,6,15,2,4,21,e2ada23870a3a6c6a6bb45b894fe234c,51,42774,229,21,4,1,45,
5,0,4498,167,5,6,9,3,3,6,15,2,4,21,2d32ca81b8a0acfa51378d50b77f4be7,55,42850,229,21,5,1,45,
6,9,4545,167,5,6,9,3,3,6,15,2,4,21,90b79b0556c332b08711a455bd487ce8,55,43019,229,21,6,1,45,
7,1,4264,167,4,5,9,3,3,6,15,2,4,21,7188a119f84bfa8d9ae6eb6616aa1e29,54,41275,229,21,7,1,45,
8,2,4570,167,5,6,9,3,3,6,15,2,4,21,673bd376ea282bf431545ae53b1faebd,56,43510,229,21,8,1,45,
9,3,4552,167,5,6,9,3,3,6,15,2,4,21,9e44f4e9cff7ff1aed1a90e1c151904b,52,43734,229,21,9,1,45,
10,10,4939,167,6,7,9,3,3,6,15,2,4,21,03c222e2b971c14b05693f535eded07c,57,44436,229,21,10,1,45,

MED,5,4532,167,5,6,9,3,3,6,15,2,4,21,nan,55,43399,229,21,5,1,45,
SIR,3,60.5,0,0.5,0.5,0,0,0,0,0,0,0,0,nan,2.5,687.5,0,0,3,0,0,
MEAN,5,4517.18,167,5,6,9,3,3,6,15,2,4,21,nan,54.7273,42971.4,229,21,5,1,45,
MIN,0,4179,167,3,4,9,3,3,6,15,2,4,21,nan,50,39050,229,21,0,1,45,
MAX,10,4939,167,6,7,9,3,3,6,15,2,4,21,nan,61,44489,229,21,10,1,45,
