_repeat_id,_thread_id,n_configs,n_locs,t_search,t_total,cnt_singular,cnt_and,cnt_or,cnt_mixed,cnt_pure,cnt_mix_ok,cnt_mix_fail,cnt_total,hash,iter,n_cache_hit,n_locs_total,n_locs_uniq,repeat_id,t_runner,t_runner_total
0,5,27679,3090,17,145,4,8,2,51,14,4,47,65,ac52445605a37df50f661ef34157ec9c,82,135968,3090,65,0,128,4981,
1,6,24736,3090,15,134,4,8,2,51,14,4,47,65,89f96ef8a6444aeb37f270ae06c09b3b,61,115956,3090,65,1,119,4777,
2,0,29510,3090,18,149,4,8,2,51,14,4,47,65,f87f5f7485e4bafbbc8a217facd8a425,64,141901,3090,65,2,131,5022,
3,7,27002,3090,17,143,4,8,2,51,14,4,47,65,2f705a4a1b406c8ead7ad9b135bca03e,66,132465,3090,65,3,126,4946,
4,8,28711,3090,18,148,4,8,2,51,14,4,47,65,8a2c68f914476eb749e5c6aeda473850,76,140980,3090,65,4,130,5017,
5,9,29672,3090,18,150,4,8,2,51,14,4,47,65,4572465ebae9558d0ce7577228634d0b,69,142627,3090,65,5,132,5026,
6,1,33396,3090,21,159,4,8,2,51,14,4,47,65,f29097553c3211584cedda5a402a5380,73,148303,3090,65,6,138,5057,
7,10,29590,3090,18,150,4,8,2,51,14,4,47,65,2ff1f42caf0001cd44e430ca38e376a2,74,142638,3090,65,7,132,5026,
8,4,34186,3090,21,159,4,8,2,51,14,4,47,65,30abd6e2da8f0a4d89a404fb96b1d658,68,148310,3090,65,8,138,5057,
9,2,27332,3090,17,144,4,8,2,51,14,4,47,65,0be56ae629565cadad31caf4ced3c7c1,65,135339,3090,65,9,127,4977,
10,3,20121,3090,12,118,4,8,2,51,14,4,47,65,7e298865919913df790944f994c09430,56,88409,3090,65,10,106,4418,

MED,5,28711,3090,18,148,4,8,2,51,14,4,47,65,nan,68,140980,3090,65,5,130,5017,
SIR,3,1335,0,0.5,3.5,0,0,0,0,0,0,0,0,nan,5,5086.5,0,0,3,3,40,
MEAN,5,28357.7,3090,17.4545,145.364,4,8,2,51,14,4,47,65,nan,68.5455,133900,3090,65,5,127.909,4936.73,
MIN,0,20121,3090,12,118,4,8,2,51,14,4,47,65,nan,56,88409,3090,65,0,106,4418,
MAX,10,34186,3090,21,159,4,8,2,51,14,4,47,65,nan,82,148310,3090,65,10,138,5057,
