_repeat_id,_thread_id,n_configs,n_locs,t_search,t_total,cnt_singular,cnt_and,cnt_or,cnt_mixed,cnt_pure,cnt_mix_ok,cnt_mix_fail,cnt_total,hash,iter,n_cache_hit,n_locs_total,n_locs_uniq,repeat_id,t_runner,t_runner_total
0,3,6830,10757,25,3852,1,12,2,8,15,5,3,23,3be58947f4bba40aa41772deaabfc8e7,13,0,29257,23,0,3827,246419,
1,4,6866,10757,26,3868,1,12,2,8,15,5,3,23,8454b6a92ab31aabf6a1de824d809d0b,13,0,29257,23,1,3842,247352,
2,5,7518,10757,27,4080,1,12,2,8,15,5,3,23,efb7a100bb1a9fae4ac15eb8d32ce77c,14,0,29257,23,2,4053,251195,
3,6,6877,10757,25,3871,1,12,2,8,15,4,4,23,1f73b7d0497ae39c68ae327af67280a5,12,0,29257,23,3,3846,247460,
4,10,7567,10757,27,4093,1,12,2,8,15,4,4,23,74c3382e5d3648a823dd23e7bf7ae4d7,15,0,29257,23,4,4066,251294,
5,7,6835,10757,26,3863,1,12,2,8,15,5,3,23,01ec08f70968b557db9ed78c352da894,12,0,29257,23,5,3837,247059,
6,9,6834,10757,26,3868,1,12,2,8,15,5,3,23,a9c511f1e7e7d59a2ddd1c68a63a1989,12,0,29257,23,6,3842,247331,
7,0,6850,10757,26,3852,1,12,2,8,15,5,3,23,9c05dfacef5b36360c9a7ce66dc4b063,12,0,29257,23,7,3826,246397,
8,1,6884,10757,25,3879,1,12,2,8,15,5,3,23,25bb99a93835257d0e9b97ca95c39bb0,12,0,29257,23,8,3854,247652,
9,2,6229,10757,23,3524,1,12,2,8,15,4,4,23,61def13c59f1c6c20663a2a5c914eca9,10,0,29257,23,9,3501,225398,
10,8,6777,10757,25,3821,1,12,2,8,15,3,5,23,e4eeea2eab9d4019d1333c46ef821ddc,12,0,29257,23,10,3796,244446,

MED,5,6850,10757,26,3868,1,12,2,8,15,5,3,23,nan,12,0,29257,23,5,3842,247331,
SIR,3,27,0,0.5,13.5,0,0,0,0,0,0.5,0.5,0,nan,0.5,0,0,0,3,14,627.5,
MEAN,5,6915.18,10757,25.5455,3870.09,1,12,2,8,15,4.54545,3.45455,23,nan,12.4545,0,29257,23,5,3844.55,245637,
MIN,0,6229,10757,23,3524,1,12,2,8,15,3,3,23,nan,10,0,29257,23,0,3501,225398,
MAX,10,7567,10757,27,4093,1,12,2,8,15,5,5,23,nan,15,0,29257,23,10,4066,251294,
