_repeat_id,_thread_id,n_configs,n_locs,t_search,t_total,cnt_singular,cnt_and,cnt_or,cnt_mixed,cnt_pure,cnt_mix_ok,cnt_mix_fail,cnt_total,hash,iter,n_cache_hit,n_locs_total,n_locs_uniq,repeat_id,t_runner,t_runner_total
0,7,130607,1085,1151,1410,12,5,2,132,19,10,122,151,02a7c96250f33055a22386a44903d75a,1031,699195,1887,151,0,259,10112,
1,9,128748,1085,801,1069,12,5,2,132,19,10,122,151,0ba91843d8431da1da2985fd2d6e00b4,344,641314,1887,151,1,268,9385,
2,6,149556,1085,323,661,12,5,2,132,19,10,122,151,732409ba12f869abdbb8a6103b234ec1,368,487904,1887,151,2,338,7439,
3,4,101802,1085,744,958,12,5,2,132,19,9,123,151,b99ddec81afa2028e375322f954e2f1b,239,608669,1887,151,3,214,8958,
4,2,175304,1085,703,1087,12,5,2,132,19,10,122,151,3ddeb28c9673306034b1db4fce5f8260,338,645343,1887,151,4,384,9446,
5,3,141935,1085,1085,1351,12,5,2,132,19,9,123,151,dc16b57542be812b2027afd820d38fc1,929,692882,1887,151,5,266,10035,
6,8,127499,1085,558,832,12,5,2,132,19,9,123,151,6d90958255a6d761350abb7057497123,231,563240,1887,151,6,274,8368,
7,5,79603,1085,466,638,12,5,2,132,19,10,122,151,7ae2bdd61c998370d5d3980124259a3b,138,477227,1887,151,7,172,7297,
8,10,182981,1085,826,1221,12,5,2,132,19,9,123,151,8718cb3743277a6a65bbc4dab17e8897,1074,672377,1887,151,8,395,9786,
9,1,162372,1085,275,649,12,5,2,132,19,9,123,151,605b7a309813e3159fb6d32bfa5f10c3,368,482696,1887,151,9,374,7373,
10,0,197222,1085,1845,2245,12,5,2,132,19,10,122,151,952618fb4a5a0f0e8f0635939ca3bbb8,460,733689,1887,151,10,400,10592,

MED,5,141935,1085,744,1069,12,5,2,132,19,10,122,151,nan,368,641314,1887,151,5,274,9385,
SIR,3,23902.5,0,309.5,345,0,0,0,0,0,0.5,0.5,0,nan,345,102489,0,0,3,62.5,1298,
MEAN,5,143421,1085,797.909,1101.91,12,5,2,132,19,9.54545,122.455,151,nan,501.818,609503,1887,151,5,304,8981,
MIN,0,79603,1085,275,638,12,5,2,132,19,9,122,151,nan,138,477227,1887,151,0,172,7297,
MAX,10,197222,1085,1845,2245,12,5,2,132,19,10,123,151,nan,1074,733689,1887,151,10,400,10592,
