_repeat_id,_thread_id,n_configs,n_locs,t_search,t_total,cnt_singular,cnt_and,cnt_or,cnt_mixed,cnt_pure,cnt_mix_ok,cnt_mix_fail,cnt_total,hash,iter,n_cache_hit,n_locs_total,n_locs_uniq,repeat_id,t_runner,t_runner_total
0,6,189,98,0,0,11,4,0,8,15,8,0,23,fa21d3e195f81c88e092f8a907604355,4,703,114,23,0,0,6,
1,9,234,98,0,0,11,4,0,9,15,9,0,24,c4959709f38050513cb871a2913b2319,4,755,114,24,1,0,7,
2,2,112,98,0,0,11,4,0,8,15,8,0,23,43124e73d3073c4350b3499a5f432c22,3,301,114,23,2,0,5,
3,8,1059,99,1,1,11,5,1,10,17,7,3,27,977b3fa062ee7c64da6430cb5a87469c,19,2673,114,27,3,0,9,
4,3,112,98,0,0,11,4,0,6,15,6,0,21,beedb0b998766c7339db792061e4d6f7,3,295,114,21,4,0,5,
5,0,128,98,0,0,11,4,0,8,15,8,0,23,88c700ba08eadf83d05bc1d578cffec4,3,315,114,23,5,0,5,
6,10,103,98,0,0,11,4,0,7,15,7,0,22,a10b3cce5cbc0abb856acda79859bf60,3,281,114,22,6,0,5,
7,4,998,99,0,0,11,5,1,10,17,7,3,27,d65496e2ab87529ee547491841a26385,17,2645,114,27,7,0,9,
8,1,674,99,0,0,11,5,1,10,17,7,3,27,63edef7d3de500039671281c59c4f995,15,2072,114,27,8,0,8,
9,5,101,98,0,0,11,4,0,5,15,5,0,20,9de076bf742999bcac052c3f5d23bfcb,3,231,114,20,9,0,5,
10,7,830,99,0,0,11,5,1,10,17,7,3,27,b01f346f5319a954e79507d140c1815f,14,2300,114,27,10,0,8,

MED,5,189,98,0,0,11,4,0,8,15,7,0,23,nan,4,703,114,23,5,0,6,
SIR,3,359,0.5,0,0,0,0.5,0.5,1.5,1,0.5,1.5,2.5,nan,6,1002.5,0,2.5,3,0,1.5,
MEAN,5,412.727,98.3636,0.0909091,0.0909091,11,4.36364,0.363636,8.27273,15.7273,7.18182,1.09091,24,nan,8,1142.82,114,24,5,0,6.54545,
MIN,0,101,98,0,0,11,4,0,5,15,5,0,20,nan,3,231,114,20,0,0,5,
MAX,10,1059,99,1,1,11,5,1,10,17,9,3,27,nan,19,2673,114,27,10,0,9,
