_repeat_id,_thread_id,n_configs,n_locs,t_search,t_total,cnt_singular,cnt_and,cnt_or,cnt_mixed,cnt_pure,cnt_mix_ok,cnt_mix_fail,cnt_total,hash,iter,n_cache_hit,n_locs_total,n_locs_uniq,repeat_id,t_runner,t_runner_total
0,5,10981,3565,5,271,3,39,1,19,43,11,8,62,2887128526302d28e2b6cd50770abf83,12,52,10768,62,0,266,12216,
1,6,9556,3565,5,252,3,39,1,19,43,11,8,62,4b235907117df77733e3a87e49895ea1,10,49,10768,62,1,247,11873,
2,7,9821,3565,5,256,3,39,1,19,43,11,8,62,54def0577a02c2bad0d2f0b0a1f60ff8,10,49,10768,62,2,251,11947,
3,8,11852,3565,6,282,3,39,1,19,43,11,8,62,7b56325070eab5e00ad9d864f993de8a,13,53,10768,62,3,276,12275,
4,9,9627,3565,4,251,3,39,1,19,43,11,8,62,b829ba6540f52f68cccef891cfa5d470,10,49,10768,62,4,247,11855,
5,10,9690,3565,5,252,3,39,1,19,43,11,8,62,1b61a37e316939eddc404a5c603b30e8,10,49,10768,62,5,247,11879,
6,0,9162,3565,4,242,3,39,1,19,43,11,8,62,9146d3a41886af10f14e319aedb53942,10,47,10768,62,6,238,11521,
7,1,9401,3565,5,249,3,39,1,19,43,11,8,62,08a4bbd7cbed3d9fcac7e8d4a1ef5439,10,47,10768,62,7,244,11776,
8,2,10936,3565,5,272,3,39,1,19,43,11,8,62,012a23e918e1d7d4fab378ff28a103cb,13,53,10768,62,8,267,12228,
9,3,11015,3565,6,274,3,39,1,19,43,11,8,62,23dde2b525a75c3901002dfe9f2bacc8,13,53,10768,62,9,268,12239,
10,4,9222,3565,5,242,3,39,1,19,43,11,8,62,0ba68a9d7d509270b97d14884ed73c50,10,47,10768,62,10,237,11493,

MED,5,9690,3565,5,252,3,39,1,19,43,11,8,62,nan,10,49,10768,62,5,247,11879,
SIR,3,790,0,0,11.5,0,0,0,0,0,0,0,0,nan,1.5,3,0,0,3,11.5,226,
MEAN,5,10114.8,3565,5,258.455,3,39,1,19,43,11,8,62,nan,11,49.8182,10768,62,5,253.455,11936.5,
MIN,0,9162,3565,4,242,3,39,1,19,43,11,8,62,nan,10,47,10768,62,0,237,11493,
MAX,10,11852,3565,6,282,3,39,1,19,43,11,8,62,nan,13,53,10768,62,10,276,12275,
