_repeat_id,_thread_id,n_configs,n_locs,t_search,t_total,cnt_singular,cnt_and,cnt_or,cnt_mixed,cnt_pure,cnt_mix_ok,cnt_mix_fail,cnt_total,hash,iter,n_cache_hit,n_locs_total,n_locs_uniq,repeat_id,t_runner,t_runner_total
0,0,10816,2549,2,5,5,36,2,9,43,3,6,52,a683ab2086fe545ac419c98a727d3d55,10,3,2549,52,0,3,59,
1,5,10920,2549,2,5,5,36,2,9,43,3,6,52,0649845ee1815979c66abb5e55641c3c,10,3,2549,52,1,3,58,
2,3,10562,2549,2,5,5,36,2,9,43,3,6,52,1d528d800bad660899a4d20d16ca3057,10,3,2549,52,2,3,57,
3,7,12076,2549,3,6,5,36,2,9,43,3,6,52,23335f62083f3092b77b0ac8284e20e8,11,3,2549,52,3,3,61,
4,8,12052,2549,3,6,5,36,2,9,43,3,6,52,b0cc088a3cb52d5c98446dc2b9f40de5,11,3,2549,52,4,3,61,
5,9,10754,2549,2,5,5,36,2,9,43,3,6,52,261e4e7fa4c687db620038e1e00832f0,10,3,2549,52,5,3,58,
6,1,11062,2549,3,6,5,36,2,9,43,3,6,52,e32aff348b3591e020f32455a1f968a0,10,3,2549,52,6,3,60,
7,6,12044,2549,2,6,5,36,2,9,43,3,6,52,6943e3d1c4c2c4b0417ceebeb2a5a43b,11,3,2549,52,7,4,61,
8,10,10880,2549,3,6,5,36,2,9,43,3,6,52,823f3f11ea5c39eefcb1e1c44b837957,10,3,2549,52,8,3,59,
9,2,10920,2549,2,5,5,36,2,9,43,3,6,52,1088d2c4a5fce780f7635fe075cba199,10,3,2549,52,9,3,59,
10,4,10978,2549,3,6,5,36,2,9,43,3,6,52,7ecfc5292d0776960606ec079f000fc0,10,3,2549,52,10,3,60,

MED,5,10920,2549,2,6,5,36,2,9,43,3,6,52,nan,10,3,2549,52,5,3,59,
SIR,3,614,0,0.5,0.5,0,0,0,0,0,0,0,0,nan,0.5,0,0,0,3,0,1.5,
MEAN,5,11187.6,2549,2.45455,5.54545,5,36,2,9,43,3,6,52,nan,10.2727,3,2549,52,5,3.09091,59.3636,
MIN,0,10562,2549,2,5,5,36,2,9,43,3,6,52,nan,10,3,2549,52,0,3,57,
MAX,10,12076,2549,3,6,5,36,2,9,43,3,6,52,nan,11,3,2549,52,10,4,61,
