_repeat_id,n_configs,delta_locs,avg_mcc,cnt_exact,cnt_interactions,cnt_wrong,avg_f,_thread_id,wrong_locs
0,22,-124,0.111111,3,27,24,0.327156,9,!cat.c:130 !cat.c:152 !cat.c:197 !cat.c:394 !cat.c:402 !cat.c:432 !cat.c:463 !cat.c:471 !cat.c:483 !cat.c:485 cat.c:579 cat.c:586 cat.c:591 cat.c:595 cat.c:599 cat.c:604 cat.c:608 cat.c:612 cat.c:618 cat.c:622 cat.c:628 !cat.c:637 !cat.c:647 !cat.c:708 ,
1,123,-21,0.767132,16,27,11,0.805120,31,!cat.c:152 cat.c:197 cat.c:402 cat.c:432 cat.c:463 cat.c:471 !cat.c:483 !cat.c:485 cat.c:579 !cat.c:647 !cat.c:708 ,
2,157,-13,0.784747,17,27,10,0.822554,0,!cat.c:152 cat.c:197 cat.c:432 cat.c:463 cat.c:471 cat.c:483 cat.c:485 cat.c:579 !cat.c:647 !cat.c:708 ,
3,171,-13,0.836186,20,27,7,0.871737,1,!cat.c:152 cat.c:197 cat.c:463 cat.c:483 cat.c:579 !cat.c:647 !cat.c:708 ,
4,201,-10,0.890535,20,27,7,0.924056,3,!cat.c:152 cat.c:197 cat.c:483 cat.c:579 cat.c:637 cat.c:647 cat.c:708 ,
5,238,0,0.926663,21,27,6,0.959917,4,cat.c:152 cat.c:197 cat.c:483 cat.c:485 cat.c:579 cat.c:708 ,
6,298,0,1.000000,27,27,0,1.000000,2,,
7,318,0,1.000000,27,27,0,1.000000,7,,
8,556,0,1.000000,27,27,0,1.000000,10,,
9,795,0,1.000000,27,27,0,1.000000,8,,
10,1033,0,1.000000,27,27,0,1.000000,11,,
11,1278,0,1.000000,27,27,0,1.000000,6,,
12,1514,0,1.000000,27,27,0,1.000000,12,,

MED,298,0,1,27,27,0,1,7,nan,
SIR,375,6.5,0.0947668,4.25,0,4.25,0.0764273,4,nan,
MEAN,515.692,-13.9231,0.87049,22,27,5,0.900811,8,nan,
MIN,22,-124,0.111111,3,27,0,0.327156,0,nan,
MAX,1514,0,1,27,27,24,1,31,nan,
