_repeat_id,n_configs,delta_locs,avg_mcc,cnt_exact,cnt_interactions,cnt_wrong,avg_f,_thread_id,wrong_locs
0,1267,-26,0.636311,7,17,10,0.753543,29,date.c:124 date.c:436 date.c:441 date.c:443 date.c:469 date.c:478 !date.c:479 !date.c:492 !date.c:494 !date.c:590 ,
1,1690,-4,0.844680,10,17,7,0.840439,30,date.c:436 date.c:469 date.c:478 date.c:479 date.c:492 !date.c:494 !date.c:590 ,
2,2147,-2,0.874998,10,17,7,0.871004,1,date.c:436 date.c:469 date.c:478 date.c:479 date.c:492 date.c:494 !date.c:590 ,
3,2189,-2,0.880684,10,17,7,0.877051,2,date.c:436 date.c:469 date.c:478 date.c:479 date.c:492 date.c:494 !date.c:590 ,
4,2205,-2,0.883787,10,17,7,0.880226,28,date.c:436 date.c:469 date.c:478 date.c:479 date.c:492 date.c:494 !date.c:590 ,
5,2221,-2,0.884781,11,17,6,0.881207,31,date.c:436 date.c:469 date.c:478 date.c:492 date.c:494 !date.c:590 ,
6,2229,-2,0.885097,11,17,6,0.881508,3,date.c:436 date.c:469 date.c:478 date.c:492 date.c:494 !date.c:590 ,
7,2237,-2,0.885412,11,17,6,0.881807,4,date.c:436 date.c:469 date.c:478 date.c:492 date.c:494 !date.c:590 ,
8,2292,-2,0.886154,11,17,6,0.882581,7,date.c:436 date.c:469 date.c:478 date.c:492 date.c:494 !date.c:590 ,
9,2308,-2,0.886154,11,17,6,0.882581,11,date.c:436 date.c:469 date.c:478 date.c:492 date.c:494 !date.c:590 ,
10,4266,-2,0.915867,12,17,5,0.913545,9,date.c:469 date.c:478 date.c:492 date.c:494 !date.c:590 ,
11,4433,0,0.974057,13,17,4,0.971721,8,date.c:469 date.c:478 date.c:492 date.c:494 ,
12,4458,0,0.975337,13,17,4,0.973036,10,date.c:469 date.c:478 date.c:492 date.c:494 ,
13,4474,0,0.976294,13,17,4,0.974011,12,date.c:469 date.c:478 date.c:492 date.c:494 ,
14,4490,0,0.977314,13,17,4,0.975037,13,date.c:469 date.c:478 date.c:492 date.c:494 ,
15,4506,0,0.978326,13,17,4,0.976046,15,date.c:469 date.c:478 date.c:492 date.c:494 ,
16,4522,0,0.979259,13,17,4,0.976968,14,date.c:469 date.c:478 date.c:492 date.c:494 ,
17,4538,0,0.980185,13,17,4,0.977875,6,date.c:469 date.c:478 date.c:492 date.c:494 ,
18,4556,0,0.980804,14,17,3,0.978478,16,date.c:478 date.c:492 date.c:494 ,
19,4564,0,0.981121,14,17,3,0.978787,18,date.c:478 date.c:492 date.c:494 ,
20,4572,0,0.981437,14,17,3,0.979092,17,date.c:478 date.c:492 date.c:494 ,
21,4580,0,0.981751,14,17,3,0.979395,21,date.c:478 date.c:492 date.c:494 ,
22,4588,0,0.982064,14,17,3,0.979694,19,date.c:478 date.c:492 date.c:494 ,
23,4640,0,0.982141,14,17,3,0.979768,22,date.c:478 date.c:492 date.c:494 ,
24,6174,0,1.000000,17,17,0,1.000000,20,,
25,6191,0,1.000000,17,17,0,1.000000,0,,
26,7500,0,1.000000,17,17,0,1.000000,23,,
27,8790,0,1.000000,17,17,0,1.000000,5,,
28,9877,0,1.000000,17,17,0,1.000000,25,,
29,10741,0,1.000000,17,17,0,1.000000,24,,
30,11484,0,1.000000,17,17,0,1.000000,26,,

MED,4506,0,0.978326,13,17,4,0.976046,15,nan,
SIR,1201.5,1,0.0483645,1.5,0,1.5,0.0489808,8,nan,
MEAN,4668.68,-1.54839,0.941742,13.1613,17,3.83871,0.9434,15.129,nan,
MIN,1267,-26,0.636311,7,17,0,0.753543,0,nan,
MAX,11484,0,1,17,17,10,1,31,nan,
