_repeat_id,n_configs,delta_locs,avg_mcc,cnt_exact,cnt_interactions,cnt_wrong,avg_f,_thread_id,wrong_locs
0,32,-11,0.375580,3,17,14,0.399161,2,grin.py:1005 grin.py:1018 grin.py:1028 grin.py:110 !grin.py:118 grin.py:408 !grin.py:434 grin.py:437 !grin.py:438 grin.py:443 !grin.py:444 !grin.py:445 !grin.py:447 !grin.py:707 ,
1,192,0,0.923843,14,17,3,0.924387,9,grin.py:118 grin.py:438 grin.py:445 ,
2,230,0,1.000000,17,17,0,1.000000,10,,
3,434,0,1.000000,17,17,0,1.000000,11,,
4,638,0,1.000000,17,17,0,1.000000,31,,
5,842,0,1.000000,17,17,0,1.000000,6,,
6,1046,0,1.000000,17,17,0,1.000000,0,,
7,1250,0,1.000000,17,17,0,1.000000,3,,
8,1455,0,1.000000,17,17,0,1.000000,1,,
9,1659,0,1.000000,17,17,0,1.000000,4,,
10,1864,0,1.000000,17,17,0,1.000000,5,,
11,2068,0,1.000000,17,17,0,1.000000,7,,

MED,944,0,1,17,17,0,1,5.5,nan,
SIR,612.5,0,0,0,0,0,0,3.5,nan,
MEAN,975.833,-0.916667,0.941619,15.5833,17,1.41667,0.943629,7.41667,nan,
MIN,32,-11,0.37558,3,17,0,0.399161,0,nan,
MAX,2068,0,1,17,17,14,1,31,nan,
