_repeat_id,n_configs,delta_locs,avg_mcc,cnt_exact,cnt_interactions,cnt_wrong,avg_f,_thread_id,wrong_locs
0,8,-115,0.093750,3,32,29,0.186790,7,!id.c:102 id.c:142 !id.c:163 id.c:166 id.c:169 id.c:172 id.c:175 id.c:178 !id.c:182 id.c:188 id.c:195 !id.c:197 !id.c:198 !id.c:199 !id.c:200 !id.c:203 !id.c:206 !id.c:207 !id.c:215 !id.c:220 !id.c:275 !id.c:277 !id.c:286 !id.c:325 !id.c:335 !id.c:341 !id.c:443 !id.c:444 !id.c:445 ,
1,31,-87,0.282311,8,32,24,0.329151,12,id.c:142 id.c:169 id.c:178 !id.c:182 id.c:188 id.c:195 !id.c:197 !id.c:198 !id.c:199 !id.c:200 !id.c:203 !id.c:206 !id.c:207 !id.c:215 !id.c:220 !id.c:275 !id.c:277 !id.c:286 !id.c:325 !id.c:335 !id.c:341 !id.c:443 !id.c:444 !id.c:445 ,
2,84,-48,0.565333,11,32,21,0.594000,8,id.c:142 id.c:169 id.c:195 id.c:197 id.c:198 id.c:199 id.c:200 !id.c:203 id.c:206 id.c:207 id.c:215 !id.c:220 id.c:275 !id.c:277 id.c:286 !id.c:325 !id.c:335 !id.c:341 !id.c:443 id.c:444 id.c:445 ,
3,120,-32,0.734375,19,32,13,0.766995,9,id.c:142 id.c:206 id.c:207 id.c:215 !id.c:220 id.c:275 id.c:277 id.c:286 id.c:325 id.c:341 id.c:443 id.c:444 id.c:445 ,
4,148,-32,0.861705,20,32,12,0.891262,1,id.c:142 id.c:206 id.c:207 id.c:215 !id.c:220 id.c:275 id.c:277 id.c:286 id.c:325 id.c:341 id.c:444 id.c:445 ,
5,175,0,0.961897,28,32,4,0.957589,0,id.c:207 id.c:215 id.c:275 id.c:341 ,
6,195,0,0.988065,30,32,2,0.986905,31,id.c:207 id.c:275 ,
7,345,0,0.997660,31,32,1,0.997736,11,id.c:275 ,
8,349,0,0.999089,31,32,1,0.999107,5,id.c:275 ,
9,491,0,1.000000,32,32,0,1.000000,3,,
10,494,0,1.000000,32,32,0,1.000000,6,,
11,631,0,1.000000,32,32,0,1.000000,2,,
12,755,0,1.000000,32,32,0,1.000000,4,,

MED,195,0,0.988065,30,32,2,0.986905,6,nan,
SIR,195.25,20,0.175073,8.5,0,8.5,0.159751,3.75,nan,
MEAN,294.308,-24.1538,0.806476,23.7692,32,8.23077,0.82381,7.61538,nan,
MIN,8,-115,0.09375,3,32,0,0.18679,0,nan,
MAX,755,0,1,32,32,29,1,31,nan,
