_repeat_id,n_configs,delta_locs,avg_mcc,cnt_exact,cnt_interactions,cnt_wrong,avg_f,_thread_id,wrong_locs
0,125,-224,0.333695,9,33,24,0.470367,20,join.c:1040 !join.c:1065 join.c:1073 join.c:1076 join.c:1084 join.c:1130 join.c:1139 join.c:1147 !join.c:1151 !join.c:1175 !join.c:1177 !join.c:548 !join.c:567 !join.c:600 !join.c:605 !join.c:618 join.c:839 join.c:865 join.c:875 join.c:922 !join.c:964 !join.c:972 !join.c:977 !join.c:998 ,
1,402,-1,0.969280,30,33,3,0.969613,31,join.c:1147 join.c:839 !join.c:998 ,
2,437,0,0.985884,30,33,3,0.983606,16,join.c:1147 join.c:839 join.c:998 ,
3,459,0,0.995593,30,33,3,0.995607,1,join.c:1147 join.c:839 join.c:998 ,
4,477,0,0.984484,30,33,3,0.981754,19,join.c:1147 join.c:839 join.c:998 ,
5,500,0,0.999657,31,33,2,0.999936,0,join.c:1147 join.c:839 ,
6,986,0,0.999880,32,33,1,0.999997,2,join.c:1147 ,
7,1447,0,0.999414,32,33,1,0.999987,3,join.c:1147 ,
8,1460,0,0.999880,32,33,1,0.999997,6,join.c:1147 ,
9,1471,0,0.999960,32,33,1,0.999999,5,join.c:1147 ,
10,1926,0,0.999960,32,33,1,0.999999,7,join.c:1147 ,
11,2340,0,0.999960,32,33,1,0.999999,9,join.c:1147 ,
12,2760,0,0.999960,32,33,1,0.999999,14,join.c:1147 ,
13,3174,0,0.999960,32,33,1,0.999999,10,join.c:1147 ,
14,3582,0,1.000000,33,33,0,1.000000,8,,
15,3588,0,1.000000,33,33,0,1.000000,13,,
16,3989,0,1.000000,33,33,0,1.000000,15,,
17,4371,0,1.000000,33,33,0,1.000000,12,,
18,4764,0,1.000000,33,33,0,1.000000,17,,
19,5156,0,1.000000,33,33,0,1.000000,11,,
20,5535,0,1.000000,33,33,0,1.000000,18,,

MED,1926,0,0.99996,32,33,1,0.999999,11,nan,
SIR,1650,0,0.00124819,1.25,0,1.25,0.00111413,5.5,nan,
MEAN,2330.9,-10.7143,0.965122,30.8095,33,2.19048,0.97147,11.2857,nan,
MIN,125,-224,0.333695,9,33,0,0.470367,0,nan,
MAX,5535,0,1,33,33,24,1,31,nan,
