_repeat_id,n_configs,delta_locs,avg_mcc,cnt_exact,cnt_interactions,cnt_wrong,avg_f,_thread_id,wrong_locs
0,150,-84,0.444555,10,25,15,0.546978,4,!ln.c:123 !ln.c:132 !ln.c:168 !ln.c:172 !ln.c:174 !ln.c:221 !ln.c:226 !ln.c:353 ln.c:495 ln.c:500 ln.c:520 ln.c:523 ln.c:555 ln.c:572 !ln.c:637 ,
1,520,0,0.960000,24,25,1,0.999998,2,ln.c:495 ,
2,938,0,0.960000,24,25,1,0.999998,3,ln.c:495 ,
3,1339,0,0.960000,24,25,1,0.999998,5,ln.c:495 ,
4,1723,0,0.960000,24,25,1,0.999998,0,ln.c:495 ,
5,2079,0,0.960000,24,25,1,0.999998,31,ln.c:495 ,

MED,1138.5,0,0.96,24,25,1,0.999998,3.5,nan,
SIR,601.5,0,0,0,0,0,0,1.5,nan,
MEAN,1124.83,-14,0.874093,21.6667,25,3.33333,0.924495,7.5,nan,
MIN,150,-84,0.444555,10,25,1,0.546978,0,nan,
MAX,2079,0,0.96,24,25,15,0.999998,31,nan,
