_repeat_id,n_configs,delta_locs,avg_mcc,cnt_exact,cnt_interactions,cnt_wrong,avg_f,_thread_id,wrong_locs
0,132,-53,0.498193,9,21,12,0.603490,29,!mv.c:154 !mv.c:169 !mv.c:178 !mv.c:266 !mv.c:289 mv.c:292 mv.c:367 mv.c:372 mv.c:407 mv.c:424 !mv.c:473 !mv.c:483 ,
1,427,0,0.913662,18,21,3,0.961550,30,mv.c:178 mv.c:266 mv.c:367 ,
2,439,0,0.914511,18,21,3,0.962508,31,mv.c:178 mv.c:266 mv.c:367 ,
3,453,0,0.915060,18,21,3,0.963027,0,mv.c:178 mv.c:266 mv.c:367 ,
4,464,0,0.915259,18,21,3,0.963249,1,mv.c:178 mv.c:266 mv.c:367 ,
5,478,0,0.915603,18,21,3,0.963539,2,mv.c:178 mv.c:266 mv.c:367 ,
6,490,0,0.916084,18,21,3,0.964194,3,mv.c:178 mv.c:266 mv.c:367 ,
7,501,0,0.916655,18,21,3,0.964773,7,mv.c:178 mv.c:266 mv.c:367 ,
8,512,0,0.916757,18,21,3,0.964874,4,mv.c:178 mv.c:266 mv.c:367 ,
9,815,0,0.918209,18,21,3,0.966306,5,mv.c:178 mv.c:266 mv.c:367 ,
10,823,0,0.916728,18,21,3,0.964700,6,mv.c:178 mv.c:266 mv.c:367 ,
11,838,0,0.918439,18,21,3,0.966481,11,mv.c:178 mv.c:266 mv.c:367 ,
12,846,0,0.918430,18,21,3,0.966406,8,mv.c:178 mv.c:266 mv.c:367 ,
13,858,0,0.919473,18,21,3,0.967466,9,mv.c:178 mv.c:266 mv.c:367 ,
14,870,0,0.920222,18,21,3,0.968040,13,mv.c:178 mv.c:266 mv.c:367 ,
15,882,0,0.921577,18,21,3,0.969534,14,mv.c:178 mv.c:266 mv.c:367 ,
16,894,0,0.925772,18,21,3,0.973766,18,mv.c:178 mv.c:266 mv.c:367 ,
17,905,0,0.926531,18,21,3,0.974516,17,mv.c:178 mv.c:266 mv.c:367 ,
18,918,0,0.928463,19,21,2,0.976373,15,mv.c:178 mv.c:367 ,
19,940,0,0.930626,19,21,2,0.978490,12,mv.c:178 mv.c:367 ,
20,949,0,0.932368,19,21,2,0.980154,16,mv.c:178 mv.c:367 ,
21,958,0,0.933441,19,21,2,0.981112,20,mv.c:178 mv.c:367 ,
22,972,0,0.933469,19,21,2,0.981032,19,mv.c:178 mv.c:367 ,
23,985,0,0.931874,19,21,2,0.979699,22,mv.c:178 mv.c:367 ,
24,993,0,0.932665,19,21,2,0.980479,21,mv.c:178 mv.c:367 ,
25,1281,0,0.934767,19,21,2,0.982524,23,mv.c:178 mv.c:367 ,
26,1293,0,0.936571,19,21,2,0.984359,24,mv.c:178 mv.c:367 ,
27,1301,0,0.938550,19,21,2,0.986337,25,mv.c:178 mv.c:367 ,
28,1316,0,0.939376,19,21,2,0.987146,27,mv.c:178 mv.c:367 ,
29,1326,0,0.939665,19,21,2,0.987424,26,mv.c:178 mv.c:367 ,
30,1591,0,0.940141,19,21,2,0.987902,10,mv.c:178 mv.c:367 ,
31,1612,0,0.988667,20,21,1,0.988773,28,mv.c:178 ,
32,1638,0,0.987591,20,21,1,0.987734,29,mv.c:178 ,
33,1652,0,0.988132,20,21,1,0.988278,13,mv.c:178 ,
34,1660,0,0.990655,20,21,1,0.990772,20,mv.c:178 ,
35,1670,0,0.991269,20,21,1,0.991376,1,mv.c:178 ,
36,1678,0,0.992247,20,21,1,0.992320,24,mv.c:178 ,
37,1688,0,0.993300,20,21,1,0.993310,18,mv.c:178 ,
38,1952,0,0.994862,20,21,1,0.994798,27,mv.c:178 ,
39,1963,0,0.996079,20,21,1,0.995964,10,mv.c:178 ,
40,1973,0,0.996889,20,21,1,0.996825,23,mv.c:178 ,
41,1978,0,0.996889,20,21,1,0.996825,8,mv.c:178 ,
42,2237,0,0.996895,20,21,1,0.996877,19,mv.c:178 ,
43,2246,0,0.998079,20,21,1,0.998064,31,mv.c:178 ,
44,2250,0,0.998079,20,21,1,0.998064,17,mv.c:178 ,
45,2498,0,0.998079,20,21,1,0.998064,7,mv.c:178 ,
46,2764,0,0.998470,20,21,1,0.998464,15,mv.c:178 ,
47,2771,0,0.998470,20,21,1,0.998464,21,mv.c:178 ,
48,3006,0,0.998470,20,21,1,0.998464,14,mv.c:178 ,
49,3233,0,0.998470,20,21,1,0.998464,22,mv.c:178 ,
50,3459,0,0.998470,20,21,1,0.998464,3,mv.c:178 ,
51,3662,0,0.998475,20,21,1,0.998488,6,mv.c:178 ,
52,3669,0,0.999241,20,21,1,0.999244,5,mv.c:178 ,
53,3678,0,0.999241,20,21,1,0.999244,0,mv.c:178 ,
54,3879,0,0.999247,20,21,1,0.999256,11,mv.c:178 ,
55,3885,0,0.999622,20,21,1,0.999625,30,mv.c:178 ,
56,4064,0,0.999622,20,21,1,0.999625,4,mv.c:178 ,
57,4238,0,0.999622,20,21,1,0.999625,28,mv.c:178 ,
58,4386,0,0.999622,20,21,1,0.999625,9,mv.c:178 ,
59,4531,0,0.999622,20,21,1,0.999625,12,mv.c:178 ,
60,4667,0,0.999622,20,21,1,0.999625,26,mv.c:178 ,

MED,1591,0,0.940141,19,21,2,0.987734,15,nan,
SIR,877.5,0,0.0386875,1,0,1,0.0147385,8,nan,
MEAN,1820.28,-0.868852,0.95333,19.0492,21,1.95082,0.97862,15.5574,nan,
MIN,132,-53,0.498193,9,21,1,0.60349,0,nan,
MAX,4667,0,0.999622,20,21,12,0.999625,31,nan,
