_repeat_id,n_configs,delta_locs,avg_mcc,cnt_exact,cnt_interactions,cnt_wrong,avg_f,_thread_id,wrong_locs
0,480,-64,0.720205,17,65,48,0.760864,28,array.c:224 !channel.c:1005 channel.c:1018 !channel.c:1023 channel.c:226 channel.c:249 channel.c:252 channel.c:320 channel.c:327 channel.c:340 !channel.c:347 channel.c:368 channel.c:458 channel.c:627 !channel.c:669 channel.c:811 client.c:1122 client.c:302 client.c:328 client.c:623 client.c:733 client.c:771 client.c:779 conf.c:294 conf.c:308 conn-func.c:39 conn.c:1045 conn.c:1348 !conn.c:1351 conn.c:1373 conn.c:1636 conn.c:559 conn.c:680 !conn.c:860 irc-channel.c:232 irc-channel.c:337 irc-info.c:1100 irc-info.c:1164 irc-info.c:245 irc-info.c:678 irc-server.c:153 irc.c:178 irc.c:200 log.c:268 ngircd.c:457 !numeric.c:317 numeric.c:320 parse.c:394 ,
1,1238,0,0.985911,54,65,11,0.987127,23,channel.c:1005 channel.c:1023 channel.c:252 channel.c:347 channel.c:458 channel.c:627 client.c:1122 client.c:328 conn-func.c:39 irc-info.c:1100 irc-info.c:678 ,
2,1486,0,0.990714,55,65,10,0.991528,25,channel.c:1023 channel.c:252 channel.c:347 channel.c:458 channel.c:627 client.c:1122 client.c:328 conn-func.c:39 irc-info.c:1100 irc-info.c:678 ,
3,1647,0,0.991848,57,65,8,0.992537,17,channel.c:1023 channel.c:252 channel.c:347 channel.c:458 client.c:1122 client.c:328 conn-func.c:39 irc-info.c:1100 ,
4,1792,0,0.992313,57,65,8,0.992991,1,channel.c:1023 channel.c:252 channel.c:347 channel.c:458 client.c:1122 client.c:328 conn-func.c:39 irc-info.c:1100 ,
5,1882,0,0.992287,57,65,8,0.992952,19,channel.c:1023 channel.c:252 channel.c:347 channel.c:458 client.c:1122 client.c:328 conn-func.c:39 irc-info.c:1100 ,
6,1962,0,0.992636,59,65,6,0.993268,0,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
7,2071,0,0.993234,59,65,6,0.993819,3,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
8,2157,0,0.993389,59,65,6,0.993917,4,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
9,2256,0,0.993550,59,65,6,0.994049,6,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
10,2320,0,0.993564,59,65,6,0.994051,8,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
11,2367,0,0.994563,59,65,6,0.994999,5,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
12,2389,0,0.994627,59,65,6,0.995056,7,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
13,2417,0,0.994449,59,65,6,0.994875,10,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
14,2457,0,0.994618,59,65,6,0.995043,11,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
15,2507,0,0.994838,59,65,6,0.995241,12,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
16,2595,0,0.995451,59,65,6,0.995827,15,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
17,2702,0,0.996444,59,65,6,0.996753,18,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
18,2757,0,0.996659,59,65,6,0.996956,24,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
19,2783,0,0.996737,59,65,6,0.997023,13,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
20,2821,0,0.996767,59,65,6,0.997062,16,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
21,2880,0,0.997051,59,65,6,0.997315,9,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
22,2920,0,0.997248,59,65,6,0.997487,27,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
23,2969,0,0.997285,59,65,6,0.997522,30,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
24,3007,0,0.997296,59,65,6,0.997533,21,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
25,3019,0,0.997411,59,65,6,0.997634,22,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
26,3049,0,0.997518,59,65,6,0.997733,29,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
27,3066,0,0.997571,59,65,6,0.997777,14,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
28,3106,0,0.997617,59,65,6,0.997821,26,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
29,3114,0,0.997639,59,65,6,0.997835,31,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
30,3147,0,0.997963,59,65,6,0.998148,20,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
31,3177,0,0.998063,59,65,6,0.998243,2,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
32,3193,0,0.998108,59,65,6,0.998287,4,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
33,3226,0,0.998123,59,65,6,0.998301,30,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
34,3261,0,0.998279,59,65,6,0.998447,9,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
35,3269,0,0.998301,59,65,6,0.998468,29,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
36,3284,0,0.998306,59,65,6,0.998472,20,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
37,3319,0,0.998261,59,65,6,0.998429,21,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
38,3366,0,0.998387,59,65,6,0.998532,1,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
39,3397,0,0.998398,59,65,6,0.998542,27,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
40,3417,0,0.998645,59,65,6,0.998776,11,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
41,3443,0,0.998907,59,65,6,0.999026,10,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
42,3487,0,0.998933,59,65,6,0.999048,19,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
43,4797,0,0.998788,59,65,6,0.998898,6,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
44,4877,0,0.999021,59,65,6,0.999117,7,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
45,4922,0,0.999125,59,65,6,0.999215,5,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
46,4954,0,0.999115,59,65,6,0.999207,24,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
47,4965,0,0.999115,59,65,6,0.999207,26,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
48,6276,0,0.999522,59,65,6,0.999573,16,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
49,6357,0,0.999385,59,65,6,0.999442,22,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
50,6411,0,0.999608,59,65,6,0.999648,18,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
51,6433,0,0.999616,59,65,6,0.999656,14,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
52,6454,0,0.999617,59,65,6,0.999656,0,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
53,7766,0,0.999672,59,65,6,0.999705,28,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
54,7818,0,0.999693,59,65,6,0.999725,15,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
55,7832,0,0.999695,59,65,6,0.999727,13,channel.c:1023 channel.c:347 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
56,9086,0,0.999796,60,65,5,0.999820,3,channel.c:1023 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
57,9146,0,0.999804,60,65,5,0.999827,23,channel.c:1023 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
58,9159,0,0.999804,60,65,5,0.999827,17,channel.c:1023 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
59,10443,0,0.999844,61,65,4,0.999859,2,channel.c:1023 channel.c:458 client.c:1122 client.c:328 ,
60,10498,0,0.999865,61,65,4,0.999878,31,channel.c:1023 channel.c:458 client.c:1122 client.c:328 ,
61,11749,0,0.999898,61,65,4,0.999910,12,channel.c:1023 channel.c:458 client.c:1122 client.c:328 ,
62,11761,0,0.999898,61,65,4,0.999910,8,channel.c:1023 channel.c:458 client.c:1122 client.c:328 ,
63,12992,0,0.999927,61,65,4,0.999936,25,channel.c:1023 channel.c:458 client.c:1122 client.c:328 ,
64,13044,0,0.999950,61,65,4,0.999956,30,channel.c:1023 channel.c:458 client.c:1122 client.c:328 ,
65,13066,0,0.999950,61,65,4,0.999956,9,channel.c:1023 channel.c:458 client.c:1122 client.c:328 ,
66,14288,0,0.999950,61,65,4,0.999956,4,channel.c:1023 channel.c:458 client.c:1122 client.c:328 ,
67,15523,0,0.999960,61,65,4,0.999964,29,channel.c:1023 channel.c:458 client.c:1122 client.c:328 ,
68,15537,0,0.999960,61,65,4,0.999964,27,channel.c:1023 channel.c:458 client.c:1122 client.c:328 ,
69,16790,0,0.999964,61,65,4,0.999968,21,channel.c:1023 channel.c:458 client.c:1122 client.c:328 ,
