_repeat_id,n_configs,delta_locs,avg_mcc,cnt_exact,cnt_interactions,cnt_wrong,avg_f,_thread_id,wrong_locs
0,100,-836,0.060738,6,151,145,0.113476,31,!sort.c:1000 !sort.c:1008 !sort.c:1514 !sort.c:1768 !sort.c:1808 !sort.c:1830 !sort.c:1839 !sort.c:1840 !sort.c:1907 !sort.c:1922 !sort.c:1941 !sort.c:1955 !sort.c:1962 !sort.c:1977 !sort.c:1990 !sort.c:1993 !sort.c:2019 !sort.c:2032 !sort.c:2050 !sort.c:2056 !sort.c:2079 !sort.c:2095 !sort.c:2133 !sort.c:2246 !sort.c:2266 !sort.c:2270 !sort.c:2281 !sort.c:2284 !sort.c:2288 !sort.c:2298 !sort.c:2315 !sort.c:2321 !sort.c:2323 !sort.c:2334 !sort.c:2335 !sort.c:2336 !sort.c:2337 !sort.c:2338 !sort.c:2343 !sort.c:2349 !sort.c:2379 !sort.c:2380 !sort.c:2381 !sort.c:2383 !sort.c:2384 !sort.c:2385 !sort.c:2393 !sort.c:2398 !sort.c:2400 !sort.c:2402 !sort.c:2404 !sort.c:2406 !sort.c:2408 !sort.c:2410 !sort.c:2412 !sort.c:2416 !sort.c:2491 !sort.c:2493 !sort.c:2530 !sort.c:2557 !sort.c:2558 !sort.c:2570 !sort.c:2590 !sort.c:2591 !sort.c:2604 !sort.c:2610 !sort.c:2612 !sort.c:2614 !sort.c:2615 !sort.c:2616 !sort.c:2618 !sort.c:2640 !sort.c:2664 !sort.c:2665 !sort.c:2668 !sort.c:2670 !sort.c:2671 !sort.c:2673 !sort.c:2678 !sort.c:2683 !sort.c:2688 !sort.c:2692 !sort.c:2695 !sort.c:2696 !sort.c:2698 !sort.c:2727 !sort.c:2735 !sort.c:2747 !sort.c:2752 !sort.c:2755 !sort.c:2757 !sort.c:2767 !sort.c:2778 !sort.c:2804 !sort.c:2817 !sort.c:2843 !sort.c:2845 !sort.c:2862 !sort.c:2865 !sort.c:2888 !sort.c:2905 !sort.c:3004 !sort.c:3006 !sort.c:3029 !sort.c:3037 !sort.c:3041 !sort.c:3149 !sort.c:3169 !sort.c:3173 !sort.c:3212 !sort.c:3320 !sort.c:3430 !sort.c:3431 !sort.c:3492 !sort.c:3497 !sort.c:3928 !sort.c:3938 !sort.c:3992 sort.c:4025 sort.c:4051 sort.c:4074 sort.c:4131 sort.c:4143 sort.c:4146 sort.c:4149 sort.c:4152 sort.c:4155 sort.c:4159 sort.c:4161 sort.c:4164 sort.c:4167 sort.c:4170 sort.c:4173 sort.c:4420 !sort.c:4423 sort.c:4433 sort.c:4492 sort.c:4512 sort.c:4520 sort.c:4553 sort.c:4577 sort.c:4671 sort.c:4674 !sort.c:4759 !sort.c:987 ,
1,702,-529,0.339269,25,151,126,0.336824,0,sort.c:1000 sort.c:1008 sort.c:1514 !sort.c:1768 sort.c:1808 sort.c:1830 sort.c:1839 !sort.c:1840 !sort.c:1907 !sort.c:1922 !sort.c:1941 !sort.c:1955 !sort.c:1962 !sort.c:1977 !sort.c:1990 !sort.c:1993 !sort.c:2019 !sort.c:2032 !sort.c:2050 !sort.c:2056 !sort.c:2079 sort.c:2095 !sort.c:2133 !sort.c:2246 sort.c:2266 sort.c:2270 !sort.c:2281 !sort.c:2284 sort.c:2288 sort.c:2298 sort.c:2315 !sort.c:2321 sort.c:2323 !sort.c:2334 sort.c:2335 !sort.c:2336 sort.c:2337 !sort.c:2338 !sort.c:2343 sort.c:2349 sort.c:2379 sort.c:2380 sort.c:2381 sort.c:2383 sort.c:2384 sort.c:2385 sort.c:2393 sort.c:2398 sort.c:2400 sort.c:2402 sort.c:2404 sort.c:2406 sort.c:2408 sort.c:2410 sort.c:2412 sort.c:2416 !sort.c:2491 !sort.c:2493 !sort.c:2530 !sort.c:2557 !sort.c:2558 !sort.c:2570 !sort.c:2590 !sort.c:2591 !sort.c:2604 !sort.c:2610 !sort.c:2612 !sort.c:2614 !sort.c:2615 !sort.c:2616 !sort.c:2618 !sort.c:2640 !sort.c:2664 !sort.c:2665 !sort.c:2668 !sort.c:2670 !sort.c:2671 !sort.c:2673 !sort.c:2678 !sort.c:2683 !sort.c:2688 !sort.c:2692 !sort.c:2695 !sort.c:2696 !sort.c:2698 !sort.c:2727 !sort.c:2735 !sort.c:2747 !sort.c:2752 !sort.c:2755 !sort.c:2757 !sort.c:2767 sort.c:2778 !sort.c:2804 !sort.c:2817 !sort.c:2843 !sort.c:2845 !sort.c:2862 !sort.c:2865 !sort.c:2888 !sort.c:2905 !sort.c:3004 !sort.c:3006 !sort.c:3029 !sort.c:3037 !sort.c:3041 !sort.c:3149 !sort.c:3169 !sort.c:3173 !sort.c:3212 !sort.c:3320 !sort.c:3430 !sort.c:3431 !sort.c:3492 !sort.c:3497 sort.c:3928 !sort.c:3938 sort.c:3992 sort.c:4025 sort.c:4051 sort.c:4074 sort.c:4131 sort.c:4671 sort.c:4674 !sort.c:4759 sort.c:987 ,
2,1639,-103,0.623581,30,151,121,0.625970,29,sort.c:1000 sort.c:1008 sort.c:1514 sort.c:1768 sort.c:1808 sort.c:1830 sort.c:1839 sort.c:1840 !sort.c:1907 !sort.c:1922 !sort.c:1941 !sort.c:1955 !sort.c:1962 !sort.c:1977 !sort.c:1990 !sort.c:1993 !sort.c:2019 !sort.c:2032 sort.c:2050 !sort.c:2056 sort.c:2079 sort.c:2133 sort.c:2246 sort.c:2266 sort.c:2270 sort.c:2281 sort.c:2284 sort.c:2288 sort.c:2298 sort.c:2315 sort.c:2321 sort.c:2323 !sort.c:2334 sort.c:2335 !sort.c:2336 sort.c:2337 !sort.c:2338 !sort.c:2343 sort.c:2349 sort.c:2379 sort.c:2380 sort.c:2381 sort.c:2383 sort.c:2384 sort.c:2385 sort.c:2393 sort.c:2400 sort.c:2402 sort.c:2404 sort.c:2408 sort.c:2410 sort.c:2491 sort.c:2493 sort.c:2530 sort.c:2557 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2612 sort.c:2614 sort.c:2615 sort.c:2616 !sort.c:2618 sort.c:2640 sort.c:2664 !sort.c:2665 sort.c:2668 !sort.c:2670 !sort.c:2671 !sort.c:2673 !sort.c:2678 !sort.c:2683 !sort.c:2688 !sort.c:2692 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2727 sort.c:2735 sort.c:2747 !sort.c:2752 !sort.c:2755 !sort.c:2757 !sort.c:2767 sort.c:2778 sort.c:2804 sort.c:2817 sort.c:2843 sort.c:2845 sort.c:2862 sort.c:2865 sort.c:2888 sort.c:2905 sort.c:3004 !sort.c:3006 sort.c:3029 sort.c:3037 sort.c:3041 sort.c:3149 !sort.c:3169 !sort.c:3173 !sort.c:3212 sort.c:3320 sort.c:3430 sort.c:3431 !sort.c:3492 sort.c:3497 sort.c:3928 sort.c:3938 sort.c:3992 sort.c:4025 sort.c:4051 sort.c:4074 sort.c:4131 sort.c:4671 sort.c:4674 sort.c:4759 sort.c:987 ,
3,3184,-59,0.757312,39,151,112,0.746663,1,sort.c:1000 sort.c:1514 sort.c:1768 sort.c:1808 sort.c:1830 sort.c:1839 sort.c:1840 !sort.c:1907 !sort.c:1922 !sort.c:1941 !sort.c:1955 !sort.c:1962 !sort.c:1977 !sort.c:1990 !sort.c:1993 !sort.c:2019 !sort.c:2032 sort.c:2050 sort.c:2056 sort.c:2079 sort.c:2266 sort.c:2270 sort.c:2281 sort.c:2284 sort.c:2288 sort.c:2298 sort.c:2315 sort.c:2321 sort.c:2323 sort.c:2335 !sort.c:2336 sort.c:2337 !sort.c:2338 !sort.c:2343 sort.c:2349 sort.c:2380 sort.c:2381 sort.c:2383 sort.c:2384 sort.c:2385 sort.c:2393 sort.c:2400 sort.c:2402 sort.c:2404 sort.c:2408 sort.c:2410 sort.c:2493 sort.c:2530 sort.c:2557 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2612 sort.c:2614 sort.c:2616 sort.c:2618 sort.c:2640 sort.c:2664 sort.c:2665 sort.c:2668 sort.c:2670 sort.c:2673 sort.c:2678 sort.c:2683 sort.c:2688 sort.c:2692 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2727 sort.c:2735 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2767 sort.c:2778 sort.c:2804 sort.c:2817 sort.c:2843 sort.c:2845 sort.c:2862 sort.c:2865 sort.c:2888 sort.c:2905 sort.c:3004 sort.c:3006 sort.c:3029 sort.c:3037 sort.c:3041 sort.c:3149 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3320 sort.c:3430 sort.c:3431 sort.c:3492 sort.c:3497 sort.c:3928 sort.c:3938 sort.c:3992 sort.c:4025 sort.c:4051 sort.c:4074 sort.c:4671 sort.c:4674 sort.c:4759 sort.c:987 ,
4,5125,0,0.916337,66,151,85,0.910863,30,sort.c:1768 sort.c:1808 sort.c:1830 sort.c:1839 sort.c:1922 sort.c:1941 sort.c:1962 sort.c:1977 sort.c:1990 sort.c:1993 sort.c:2019 sort.c:2032 sort.c:2056 sort.c:2079 sort.c:2270 sort.c:2281 sort.c:2284 sort.c:2288 sort.c:2298 sort.c:2323 sort.c:2335 sort.c:2337 sort.c:2343 sort.c:2380 sort.c:2381 sort.c:2384 sort.c:2385 sort.c:2400 sort.c:2408 sort.c:2493 sort.c:2530 sort.c:2557 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2612 sort.c:2614 sort.c:2640 sort.c:2664 sort.c:2665 sort.c:2668 sort.c:2673 sort.c:2678 sort.c:2683 sort.c:2688 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2727 sort.c:2735 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2767 sort.c:2804 sort.c:2817 sort.c:2843 sort.c:2845 sort.c:2862 sort.c:2865 sort.c:2888 sort.c:3004 sort.c:3006 sort.c:3029 sort.c:3037 sort.c:3041 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3320 sort.c:3430 sort.c:3431 sort.c:3492 sort.c:3497 sort.c:3928 sort.c:3938 sort.c:3992 sort.c:4025 sort.c:4674 sort.c:4759 sort.c:987 ,
5,6763,0,0.963471,95,151,56,0.961884,2,sort.c:1768 sort.c:1977 sort.c:1990 sort.c:1993 sort.c:2019 sort.c:2032 sort.c:2056 sort.c:2270 sort.c:2281 sort.c:2284 sort.c:2298 sort.c:2323 sort.c:2335 sort.c:2384 sort.c:2385 sort.c:2530 sort.c:2557 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2612 sort.c:2664 sort.c:2665 sort.c:2668 sort.c:2670 sort.c:2673 sort.c:2678 sort.c:2683 sort.c:2688 sort.c:2692 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2727 sort.c:2735 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2767 sort.c:2817 sort.c:2843 sort.c:2845 sort.c:2862 sort.c:2865 sort.c:2888 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3320 sort.c:3492 sort.c:3497 sort.c:3938 ,
6,7725,0,0.973562,103,151,48,0.972441,5,sort.c:1768 sort.c:1993 sort.c:2032 sort.c:2056 sort.c:2281 sort.c:2298 sort.c:2323 sort.c:2335 sort.c:2384 sort.c:2385 sort.c:2530 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2612 sort.c:2640 sort.c:2664 sort.c:2665 sort.c:2668 sort.c:2670 sort.c:2678 sort.c:2683 sort.c:2688 sort.c:2692 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2727 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2767 sort.c:2817 sort.c:2843 sort.c:2845 sort.c:2862 sort.c:2865 sort.c:2888 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3492 sort.c:3497 sort.c:987 ,
7,8491,0,0.980733,116,151,35,0.979945,4,sort.c:1768 sort.c:1993 sort.c:2032 sort.c:2056 sort.c:2281 sort.c:2298 sort.c:2323 sort.c:2384 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2612 sort.c:2640 sort.c:2664 sort.c:2665 sort.c:2668 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2767 sort.c:2845 sort.c:2865 sort.c:2888 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3492 sort.c:3497 ,
8,9112,0,0.979893,117,151,34,0.979117,3,sort.c:1768 sort.c:1993 sort.c:2032 sort.c:2056 sort.c:2281 sort.c:2298 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2612 sort.c:2664 sort.c:2665 sort.c:2668 sort.c:2688 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2767 sort.c:2843 sort.c:2845 sort.c:2865 sort.c:2888 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3492 sort.c:3497 ,
9,9482,0,0.981495,120,151,31,0.980792,6,sort.c:1768 sort.c:1993 sort.c:2032 sort.c:2281 sort.c:2298 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2664 sort.c:2665 sort.c:2668 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2767 sort.c:2843 sort.c:2845 sort.c:2865 sort.c:2888 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3492 sort.c:3497 ,
