_repeat_id,n_configs,delta_locs,avg_mcc,cnt_exact,cnt_interactions,cnt_wrong,avg_f,_thread_id,wrong_locs
0,10,-4,0.402441,3,27,24,0.571365,8,uname.c:165 uname.c:202 uname.c:204 uname.c:208 uname.c:212 uname.c:216 uname.c:220 uname.c:224 uname.c:228 uname.c:232 uname.c:236 !uname.c:242 !uname.c:278 uname.c:286 !uname.c:290 uname.c:292 uname.c:294 uname.c:296 !uname.c:298 uname.c:303 uname.c:342 uname.c:347 uname.c:367 uname.c:371 ,
1,38,-1,0.718957,10,27,17,0.813305,5,uname.c:165 uname.c:202 uname.c:220 uname.c:232 uname.c:236 !uname.c:278 uname.c:286 uname.c:290 uname.c:292 uname.c:294 uname.c:296 uname.c:298 uname.c:303 uname.c:342 uname.c:347 uname.c:367 uname.c:371 ,
2,58,-1,0.903680,19,27,8,0.944686,30,uname.c:165 uname.c:202 !uname.c:278 uname.c:286 uname.c:290 uname.c:303 uname.c:347 uname.c:371 ,
3,70,-1,0.925095,22,27,5,0.962322,11,uname.c:165 uname.c:202 !uname.c:278 uname.c:286 uname.c:290 ,
4,169,-1,0.925095,22,27,5,0.962322,0,uname.c:165 uname.c:202 !uname.c:278 uname.c:286 uname.c:290 ,
5,282,-1,0.925526,22,27,5,0.962649,7,uname.c:165 uname.c:202 !uname.c:278 uname.c:286 uname.c:290 ,
6,290,-1,0.924982,22,27,5,0.962215,2,uname.c:165 uname.c:202 !uname.c:278 uname.c:286 uname.c:290 ,
7,310,0,0.999658,26,27,1,0.999740,10,uname.c:165 ,
8,316,0,0.999756,26,27,1,0.999815,6,uname.c:165 ,
9,439,0,0.999951,26,27,1,0.999963,9,uname.c:165 ,
10,441,0,0.999951,26,27,1,0.999963,4,uname.c:165 ,
11,562,0,1.000000,27,27,0,1.000000,1,,
12,676,0,1.000000,27,27,0,1.000000,3,,

MED,290,-1,0.925526,22,27,5,0.962649,6,nan,
SIR,188,0.5,0.0428102,2.75,0,2.75,0.0232564,3.5,nan,
MEAN,281.615,-0.769231,0.90193,21.3846,27,5.61538,0.936796,7.38462,nan,
MIN,10,-4,0.402441,3,27,0,0.571365,0,nan,
MAX,676,0,1,27,27,24,1,30,nan,
