_repeat_id,n_configs,delta_locs,avg_mcc,cnt_exact,cnt_interactions,cnt_wrong,avg_f,_thread_id,wrong_locs
0,22,-22,0.689131,14,27,13,0.731428,8,cat.c:130 !cat.c:152 cat.c:197 cat.c:394 cat.c:402 cat.c:432 !cat.c:463 cat.c:471 !cat.c:483 !cat.c:485 cat.c:579 !cat.c:647 !cat.c:708 ,
1,123,-13,0.781366,16,27,11,0.819918,11,!cat.c:152 cat.c:197 cat.c:402 cat.c:432 cat.c:463 cat.c:471 cat.c:483 cat.c:485 cat.c:579 !cat.c:647 !cat.c:708 ,
2,157,-13,0.784324,17,27,10,0.822357,12,!cat.c:152 cat.c:197 cat.c:432 cat.c:463 cat.c:471 cat.c:483 cat.c:485 cat.c:579 !cat.c:647 !cat.c:708 ,
3,171,-13,0.779251,17,27,10,0.817261,0,!cat.c:152 cat.c:197 cat.c:432 cat.c:463 cat.c:471 cat.c:483 cat.c:485 cat.c:579 !cat.c:647 !cat.c:708 ,
4,201,-13,0.826141,19,27,8,0.862883,6,!cat.c:152 cat.c:197 cat.c:471 cat.c:483 cat.c:485 cat.c:579 !cat.c:647 !cat.c:708 ,
5,238,-13,0.850342,20,27,7,0.887574,31,!cat.c:152 cat.c:197 cat.c:471 cat.c:483 cat.c:579 !cat.c:647 !cat.c:708 ,
6,298,-13,0.850342,20,27,7,0.887574,1,!cat.c:152 cat.c:197 cat.c:471 cat.c:483 cat.c:579 !cat.c:647 !cat.c:708 ,
7,318,-13,0.850342,20,27,7,0.887574,4,!cat.c:152 cat.c:197 cat.c:471 cat.c:483 cat.c:579 !cat.c:647 !cat.c:708 ,
8,556,-11,0.860362,21,27,6,0.897520,7,!cat.c:152 cat.c:197 cat.c:483 cat.c:579 cat.c:647 !cat.c:708 ,
9,795,-11,0.868670,21,27,6,0.904133,2,!cat.c:152 cat.c:197 cat.c:483 cat.c:579 cat.c:647 !cat.c:708 ,
10,1033,-10,0.894712,22,27,5,0.931470,3,!cat.c:152 cat.c:197 cat.c:483 cat.c:579 cat.c:708 ,
11,1278,0,0.967974,23,27,4,0.985021,5,cat.c:152 cat.c:197 cat.c:483 cat.c:579 ,
12,1514,0,0.954964,23,27,4,0.975199,10,cat.c:152 cat.c:197 cat.c:483 cat.c:579 ,

MED,298,-13,0.850342,20,27,7,0.887574,6,nan,
SIR,375,1.25,0.0494231,2.25,0,2.25,0.048332,4,nan,
MEAN,515.692,-11.1538,0.842917,19.4615,27,7.53846,0.877686,7.69231,nan,
MIN,22,-22,0.689131,14,27,4,0.731428,0,nan,
MAX,1514,0,0.967974,23,27,13,0.985021,31,nan,
