_repeat_id,n_configs,delta_locs,avg_mcc,cnt_exact,cnt_interactions,cnt_wrong,avg_f,_thread_id,wrong_locs
0,1267,-2,0.794714,10,17,7,0.819689,31,date.c:441 date.c:469 date.c:478 date.c:479 date.c:492 date.c:494 !date.c:590 ,
1,1690,-2,0.845927,11,17,6,0.831024,29,date.c:469 date.c:478 date.c:479 date.c:492 date.c:494 !date.c:590 ,
2,2147,-2,0.853463,11,17,6,0.839609,1,date.c:469 date.c:478 date.c:479 date.c:492 date.c:494 !date.c:590 ,
3,2189,-2,0.853463,11,17,6,0.839609,0,date.c:469 date.c:478 date.c:479 date.c:492 date.c:494 !date.c:590 ,
4,2205,-2,0.853908,11,17,6,0.840054,3,date.c:469 date.c:478 date.c:479 date.c:492 date.c:494 !date.c:590 ,
5,2221,-2,0.855276,11,17,6,0.841797,21,date.c:469 date.c:478 date.c:479 date.c:492 date.c:494 !date.c:590 ,
6,2229,-2,0.855276,11,17,6,0.841797,27,date.c:469 date.c:478 date.c:479 date.c:492 date.c:494 !date.c:590 ,
7,2237,-2,0.857024,11,17,6,0.843917,2,date.c:469 date.c:478 date.c:479 date.c:492 date.c:494 !date.c:590 ,
8,2292,-2,0.858360,11,17,6,0.845619,5,date.c:469 date.c:478 date.c:479 date.c:492 date.c:494 !date.c:590 ,
9,2308,-2,0.858360,11,17,6,0.845619,6,date.c:469 date.c:478 date.c:479 date.c:492 date.c:494 !date.c:590 ,
10,4266,-2,0.883369,11,17,6,0.874685,8,date.c:469 date.c:478 date.c:479 date.c:492 date.c:494 !date.c:590 ,
11,4433,-2,0.883452,11,17,6,0.874769,9,date.c:469 date.c:478 date.c:479 date.c:492 date.c:494 !date.c:590 ,
12,4458,-2,0.883452,11,17,6,0.874769,4,date.c:469 date.c:478 date.c:479 date.c:492 date.c:494 !date.c:590 ,
13,4474,-2,0.883452,11,17,6,0.874769,24,date.c:469 date.c:478 date.c:479 date.c:492 date.c:494 !date.c:590 ,
14,4490,-2,0.883452,11,17,6,0.874769,11,date.c:469 date.c:478 date.c:479 date.c:492 date.c:494 !date.c:590 ,
15,4506,-2,0.883452,11,17,6,0.874769,14,date.c:469 date.c:478 date.c:479 date.c:492 date.c:494 !date.c:590 ,
16,4522,-2,0.883452,11,17,6,0.874769,16,date.c:469 date.c:478 date.c:479 date.c:492 date.c:494 !date.c:590 ,
17,4538,-2,0.883452,11,17,6,0.874769,12,date.c:469 date.c:478 date.c:479 date.c:492 date.c:494 !date.c:590 ,
18,4556,-2,0.883452,11,17,6,0.874769,19,date.c:469 date.c:478 date.c:479 date.c:492 date.c:494 !date.c:590 ,
19,4564,-2,0.883452,11,17,6,0.874769,15,date.c:469 date.c:478 date.c:479 date.c:492 date.c:494 !date.c:590 ,
20,4572,-2,0.883452,11,17,6,0.874769,18,date.c:469 date.c:478 date.c:479 date.c:492 date.c:494 !date.c:590 ,
21,4580,-2,0.883452,11,17,6,0.874769,10,date.c:469 date.c:478 date.c:479 date.c:492 date.c:494 !date.c:590 ,
22,4588,-2,0.883452,11,17,6,0.874769,17,date.c:469 date.c:478 date.c:479 date.c:492 date.c:494 !date.c:590 ,
23,4640,-2,0.884516,11,17,6,0.876097,22,date.c:469 date.c:478 date.c:479 date.c:492 date.c:494 !date.c:590 ,
24,6174,-2,0.901577,11,17,6,0.897549,26,date.c:469 date.c:478 date.c:479 date.c:492 date.c:494 !date.c:590 ,
25,6191,-2,0.901577,11,17,6,0.897549,28,date.c:469 date.c:478 date.c:479 date.c:492 date.c:494 !date.c:590 ,
26,7500,-2,0.907359,11,17,6,0.904279,25,date.c:469 date.c:478 date.c:479 date.c:492 date.c:494 !date.c:590 ,
27,8790,-2,0.906924,11,17,6,0.904215,7,date.c:469 date.c:478 date.c:479 date.c:492 date.c:494 !date.c:590 ,
28,9877,-2,0.910703,11,17,6,0.908253,13,date.c:469 date.c:478 date.c:479 date.c:492 date.c:494 !date.c:590 ,
29,10741,-2,0.913366,11,17,6,0.910974,20,date.c:469 date.c:478 date.c:479 date.c:492 date.c:494 !date.c:590 ,
30,11484,-2,0.916824,11,17,6,0.914529,23,date.c:469 date.c:478 date.c:479 date.c:492 date.c:494 !date.c:590 ,

MED,4506,-2,0.883452,11,17,6,0.874769,15,nan,
SIR,1201.5,0,0.0137456,0,0,0,0.0160902,8,nan,
MEAN,4668.68,-2,0.877852,10.9677,17,6.03226,0.870132,15.0323,nan,
MIN,1267,-2,0.794714,10,17,6,0.819689,0,nan,
MAX,11484,-2,0.916824,11,17,7,0.914529,31,nan,
