_repeat_id,n_configs,delta_locs,avg_mcc,cnt_exact,cnt_interactions,cnt_wrong,avg_f,_thread_id,wrong_locs
0,32,-3,0.709371,7,17,10,0.717265,8,grin.py:110 !grin.py:118 grin.py:408 grin.py:434 grin.py:438 grin.py:443 grin.py:444 grin.py:445 !grin.py:447 grin.py:707 ,
1,192,0,0.948579,12,17,5,0.950471,9,grin.py:118 grin.py:408 grin.py:438 grin.py:445 grin.py:447 ,
2,230,0,0.966176,12,17,5,0.966836,11,grin.py:118 grin.py:408 grin.py:438 grin.py:445 grin.py:447 ,
3,434,0,0.973329,14,17,3,0.973389,31,grin.py:118 grin.py:438 grin.py:447 ,
4,638,0,0.988543,16,17,1,0.988688,10,grin.py:118 ,
5,842,0,0.988543,16,17,1,0.988688,0,grin.py:118 ,
6,1046,0,0.988543,16,17,1,0.988688,2,grin.py:118 ,
7,1250,0,1.000000,17,17,0,1.000000,3,,
8,1455,0,1.000000,17,17,0,1.000000,6,,
9,1659,0,1.000000,17,17,0,1.000000,4,,
10,1864,0,1.000000,17,17,0,1.000000,1,,
11,2068,0,1.000000,17,17,0,1.000000,7,,

MED,944,0,0.988543,16,17,1,0.988688,6.5,nan,
SIR,612.5,0,0.0151239,2,0,2,0.0149436,3.5,nan,
MEAN,975.833,-0.25,0.96359,14.8333,17,2.16667,0.964502,7.66667,nan,
MIN,32,-3,0.709371,7,17,0,0.717265,0,nan,
MAX,2068,0,1,17,17,10,1,31,nan,
