_repeat_id,n_configs,delta_locs,avg_mcc,cnt_exact,cnt_interactions,cnt_wrong,avg_f,_thread_id,wrong_locs
0,8,-86,0.242512,6,32,26,0.303631,9,id.c:102 id.c:142 id.c:166 id.c:172 id.c:175 id.c:182 id.c:188 id.c:195 !id.c:197 !id.c:198 !id.c:199 !id.c:200 !id.c:203 !id.c:206 !id.c:207 !id.c:215 !id.c:220 !id.c:275 !id.c:277 !id.c:286 !id.c:325 !id.c:335 !id.c:341 !id.c:443 !id.c:444 !id.c:445 ,
1,31,-50,0.409674,11,32,21,0.451515,11,id.c:142 id.c:182 id.c:195 id.c:197 id.c:198 id.c:199 !id.c:200 !id.c:203 id.c:206 !id.c:207 id.c:215 !id.c:220 id.c:275 !id.c:277 id.c:286 !id.c:325 !id.c:335 !id.c:341 !id.c:443 id.c:444 id.c:445 ,
2,84,-39,0.550058,12,32,20,0.582283,10,id.c:142 id.c:195 id.c:197 id.c:198 id.c:199 id.c:200 id.c:203 id.c:206 !id.c:207 id.c:215 !id.c:220 id.c:275 !id.c:277 id.c:286 !id.c:325 id.c:335 id.c:341 !id.c:443 id.c:444 id.c:445 ,
3,120,-37,0.642732,13,32,19,0.671688,0,id.c:142 id.c:195 id.c:197 id.c:198 id.c:200 id.c:203 id.c:206 !id.c:207 id.c:215 !id.c:220 id.c:275 !id.c:277 id.c:286 id.c:325 id.c:335 id.c:341 !id.c:443 id.c:444 id.c:445 ,
4,148,-37,0.684378,14,32,18,0.712754,3,id.c:142 id.c:195 id.c:197 id.c:198 id.c:200 id.c:203 id.c:206 !id.c:207 id.c:215 !id.c:220 id.c:275 !id.c:277 id.c:286 id.c:325 id.c:335 id.c:341 !id.c:443 id.c:444 ,
5,175,-33,0.811132,19,32,13,0.839267,31,id.c:142 id.c:203 id.c:206 !id.c:207 id.c:215 !id.c:220 id.c:275 id.c:277 id.c:286 id.c:325 id.c:341 id.c:443 id.c:444 ,
6,195,-33,0.808104,19,32,13,0.837550,2,id.c:142 id.c:203 id.c:206 !id.c:207 id.c:215 !id.c:220 id.c:275 id.c:277 id.c:286 id.c:325 id.c:341 id.c:443 id.c:444 ,
7,345,-33,0.851935,19,32,13,0.879250,1,id.c:142 id.c:203 id.c:206 !id.c:207 id.c:215 !id.c:220 id.c:275 id.c:277 id.c:286 id.c:325 id.c:341 id.c:443 id.c:444 ,
8,349,-33,0.841127,19,32,13,0.869100,6,id.c:142 id.c:203 id.c:206 !id.c:207 id.c:215 !id.c:220 id.c:275 id.c:277 id.c:286 id.c:325 id.c:341 id.c:443 id.c:444 ,
9,491,0,0.892423,20,32,12,0.907056,7,id.c:142 id.c:203 id.c:206 id.c:207 id.c:215 id.c:220 id.c:275 id.c:277 id.c:286 id.c:325 id.c:443 id.c:444 ,
10,494,0,0.892423,20,32,12,0.907056,8,id.c:142 id.c:203 id.c:206 id.c:207 id.c:215 id.c:220 id.c:275 id.c:277 id.c:286 id.c:325 id.c:443 id.c:444 ,
11,631,0,0.933469,22,32,10,0.947083,4,id.c:142 id.c:206 id.c:207 id.c:215 id.c:220 id.c:275 id.c:277 id.c:286 id.c:325 id.c:444 ,
12,755,0,0.955881,27,32,5,0.969686,12,id.c:142 id.c:206 id.c:207 id.c:215 id.c:220 ,

MED,195,-33,0.811132,19,32,13,0.839267,7,nan,
SIR,195.25,19,0.148014,3.75,0,3.75,0.140035,4,nan,
MEAN,294.308,-29.3077,0.731988,17,32,15,0.75984,8,nan,
MIN,8,-86,0.242512,6,32,5,0.303631,0,nan,
MAX,755,0,0.955881,27,32,26,0.969686,31,nan,
