_repeat_id,n_configs,delta_locs,avg_mcc,cnt_exact,cnt_interactions,cnt_wrong,avg_f,_thread_id,wrong_locs
0,125,-4,0.876770,23,33,10,0.875489,20,join.c:1130 join.c:1147 join.c:1175 join.c:1177 join.c:567 join.c:600 !join.c:605 join.c:839 join.c:922 !join.c:998 ,
1,402,0,0.937097,27,33,6,0.935990,17,join.c:1147 join.c:1175 join.c:605 join.c:839 join.c:922 join.c:998 ,
2,437,0,0.937097,27,33,6,0.935990,19,join.c:1147 join.c:1175 join.c:605 join.c:839 join.c:922 join.c:998 ,
3,459,0,0.937575,28,33,5,0.936255,0,join.c:1147 join.c:1175 join.c:605 join.c:839 join.c:998 ,
4,477,0,0.937575,28,33,5,0.936255,2,join.c:1147 join.c:1175 join.c:605 join.c:839 join.c:998 ,
5,500,0,0.947277,28,33,5,0.945889,31,join.c:1147 join.c:1175 join.c:605 join.c:839 join.c:998 ,
6,986,0,0.982317,30,33,3,0.982582,4,join.c:1147 join.c:839 join.c:998 ,
7,1447,0,0.977447,30,33,3,0.975858,1,join.c:1147 join.c:839 join.c:998 ,
8,1460,0,0.982605,30,33,3,0.982661,3,join.c:1147 join.c:839 join.c:998 ,
9,1471,0,0.982605,30,33,3,0.982661,6,join.c:1147 join.c:839 join.c:998 ,
10,1926,0,0.983792,30,33,3,0.984201,5,join.c:1147 join.c:839 join.c:998 ,
11,2340,0,0.990153,31,33,2,0.991066,8,join.c:1147 join.c:998 ,
12,2760,0,0.990153,31,33,2,0.991066,10,join.c:1147 join.c:998 ,
13,3174,0,0.990153,31,33,2,0.991066,9,join.c:1147 join.c:998 ,
14,3582,0,0.990153,31,33,2,0.991066,12,join.c:1147 join.c:998 ,
15,3588,0,0.990153,31,33,2,0.991066,11,join.c:1147 join.c:998 ,
16,3989,0,0.999488,32,33,1,0.999989,13,join.c:1147 ,
17,4371,0,0.999488,32,33,1,0.999989,14,join.c:1147 ,
18,4764,0,0.999488,32,33,1,0.999989,15,join.c:1147 ,
19,5156,0,0.999800,32,33,1,0.999996,16,join.c:1147 ,
20,5535,0,0.999800,32,33,1,0.999996,7,join.c:1147 ,

MED,1926,0,0.983792,30,33,3,0.984201,10,nan,
SIR,1650,0,0.0261972,1.75,0,1.75,0.0272278,5.5,nan,
MEAN,2330.9,-0.190476,0.972904,29.8095,33,3.19048,0.972815,10.619,nan,
MIN,125,-4,0.87677,23,33,1,0.875489,0,nan,
MAX,5535,0,0.9998,32,33,10,0.999996,31,nan,
