_repeat_id,n_configs,delta_locs,avg_mcc,cnt_exact,cnt_interactions,cnt_wrong,avg_f,_thread_id,wrong_locs
0,150,0,0.946867,21,25,4,0.987999,4,ln.c:221 ln.c:226 ln.c:495 ln.c:637 ,
1,520,0,0.957506,22,25,3,0.997712,3,ln.c:226 ln.c:495 ln.c:637 ,
2,938,0,0.956204,22,25,3,0.996493,1,ln.c:226 ln.c:495 ln.c:637 ,
3,1339,0,0.959437,23,25,2,0.999465,2,ln.c:226 ln.c:495 ,
4,1723,0,0.959437,23,25,2,0.999465,5,ln.c:226 ln.c:495 ,
5,2079,0,0.959437,23,25,2,0.999465,31,ln.c:226 ln.c:495 ,

MED,1138.5,0,0.958472,22.5,25,2.5,0.998589,3.5,nan,
SIR,601.5,0,0.00161665,0.5,0,0.5,0.00148586,1.5,nan,
MEAN,1124.83,0,0.956482,22.3333,25,2.66667,0.996766,7.66667,nan,
MIN,150,0,0.946867,21,25,2,0.987999,1,nan,
MAX,2079,0,0.959437,23,25,4,0.999465,31,nan,
