_repeat_id,n_configs,delta_locs,avg_mcc,cnt_exact,cnt_interactions,cnt_wrong,avg_f,_thread_id,wrong_locs
0,132,0,0.878693,14,21,7,0.930726,21,mv.c:169 mv.c:178 mv.c:266 mv.c:286 mv.c:289 mv.c:367 mv.c:483 ,
1,427,0,0.909453,19,21,2,0.957478,27,mv.c:178 mv.c:367 ,
2,439,0,0.909453,19,21,2,0.957478,28,mv.c:178 mv.c:367 ,
3,453,0,0.909453,19,21,2,0.957478,1,mv.c:178 mv.c:367 ,
4,464,0,0.909041,19,21,2,0.956955,31,mv.c:178 mv.c:367 ,
5,478,0,0.909041,19,21,2,0.956955,2,mv.c:178 mv.c:367 ,
6,490,0,0.916398,19,21,2,0.964449,3,mv.c:178 mv.c:367 ,
7,501,0,0.913601,19,21,2,0.961653,4,mv.c:178 mv.c:367 ,
8,512,0,0.913601,19,21,2,0.961653,6,mv.c:178 mv.c:367 ,
9,815,0,0.917257,19,21,2,0.965301,0,mv.c:178 mv.c:367 ,
10,823,0,0.917257,19,21,2,0.965301,7,mv.c:178 mv.c:367 ,
11,838,0,0.917257,19,21,2,0.965301,9,mv.c:178 mv.c:367 ,
12,846,0,0.917757,19,21,2,0.965757,10,mv.c:178 mv.c:367 ,
13,858,0,0.917636,19,21,2,0.965647,16,mv.c:178 mv.c:367 ,
14,870,0,0.917636,19,21,2,0.965647,8,mv.c:178 mv.c:367 ,
15,882,0,0.917636,19,21,2,0.965647,14,mv.c:178 mv.c:367 ,
16,894,0,0.917636,19,21,2,0.965647,15,mv.c:178 mv.c:367 ,
17,905,0,0.917636,19,21,2,0.965647,12,mv.c:178 mv.c:367 ,
18,918,0,0.917636,19,21,2,0.965647,11,mv.c:178 mv.c:367 ,
19,940,0,0.917636,19,21,2,0.965647,17,mv.c:178 mv.c:367 ,
20,949,0,0.918250,19,21,2,0.966296,13,mv.c:178 mv.c:367 ,
21,958,0,0.918250,19,21,2,0.966296,18,mv.c:178 mv.c:367 ,
22,972,0,0.918766,19,21,2,0.966806,19,mv.c:178 mv.c:367 ,
23,985,0,0.918766,19,21,2,0.966806,22,mv.c:178 mv.c:367 ,
24,993,0,0.918766,19,21,2,0.966806,24,mv.c:178 mv.c:367 ,
25,1281,0,0.917957,19,21,2,0.965665,26,mv.c:178 mv.c:367 ,
26,1293,0,0.917957,19,21,2,0.965665,23,mv.c:178 mv.c:367 ,
27,1301,0,0.917696,19,21,2,0.965363,25,mv.c:178 mv.c:367 ,
28,1316,0,0.917696,19,21,2,0.965363,30,mv.c:178 mv.c:367 ,
29,1326,0,0.920156,19,21,2,0.968040,20,mv.c:178 mv.c:367 ,
30,1591,0,0.926078,19,21,2,0.974021,29,mv.c:178 mv.c:367 ,
31,1612,0,0.925551,19,21,2,0.973394,5,mv.c:178 mv.c:367 ,
32,1638,0,0.925551,19,21,2,0.973394,24,mv.c:178 mv.c:367 ,
33,1652,0,0.923752,19,21,2,0.971700,9,mv.c:178 mv.c:367 ,
34,1660,0,0.923752,19,21,2,0.971700,7,mv.c:178 mv.c:367 ,
35,1670,0,0.923752,19,21,2,0.971700,21,mv.c:178 mv.c:367 ,
36,1678,0,0.925347,19,21,2,0.973300,0,mv.c:178 mv.c:367 ,
37,1688,0,0.925347,19,21,2,0.973300,4,mv.c:178 mv.c:367 ,
38,1952,0,0.927984,19,21,2,0.975575,22,mv.c:178 mv.c:367 ,
39,1963,0,0.928307,19,21,2,0.976026,8,mv.c:178 mv.c:367 ,
40,1973,0,0.928307,19,21,2,0.976026,13,mv.c:178 mv.c:367 ,
41,1978,0,0.928307,19,21,2,0.976026,26,mv.c:178 mv.c:367 ,
42,2237,0,0.928085,19,21,2,0.975860,27,mv.c:178 mv.c:367 ,
43,2246,0,0.929025,19,21,2,0.976866,23,mv.c:178 mv.c:367 ,
44,2250,0,0.929025,19,21,2,0.976866,12,mv.c:178 mv.c:367 ,
45,2498,0,0.929897,19,21,2,0.977773,11,mv.c:178 mv.c:367 ,
46,2764,0,0.934515,19,21,2,0.982330,18,mv.c:178 mv.c:367 ,
47,2771,0,0.934018,19,21,2,0.981855,2,mv.c:178 mv.c:367 ,
48,3006,0,0.961114,19,21,2,0.985105,14,mv.c:178 mv.c:367 ,
49,3233,0,0.960850,19,21,2,0.984835,3,mv.c:178 mv.c:367 ,
50,3459,0,0.971440,19,21,2,0.985533,15,mv.c:178 mv.c:367 ,
51,3662,0,0.974304,19,21,2,0.988355,20,mv.c:178 mv.c:367 ,
52,3669,0,0.974304,19,21,2,0.988355,28,mv.c:178 mv.c:367 ,
53,3678,0,0.974564,19,21,2,0.988624,6,mv.c:178 mv.c:367 ,
54,3879,0,0.974255,19,21,2,0.988263,19,mv.c:178 mv.c:367 ,
55,3885,0,0.974255,19,21,2,0.988263,10,mv.c:178 mv.c:367 ,
56,4064,0,0.976727,19,21,2,0.990756,5,mv.c:178 mv.c:367 ,
57,4238,0,0.978741,19,21,2,0.992696,31,mv.c:178 mv.c:367 ,
58,4386,0,0.978741,19,21,2,0.992696,1,mv.c:178 mv.c:367 ,
59,4531,0,0.980331,19,21,2,0.994309,25,mv.c:178 mv.c:367 ,
60,4667,0,0.981274,19,21,2,0.995270,29,mv.c:178 mv.c:367 ,

MED,1591,0,0.923752,19,21,2,0.9717,15,nan,
SIR,877.5,0,0.0071611,0,0,0,0.00708338,8.25,nan,
MEAN,1820.28,0,0.931204,18.918,21,2.08197,0.972293,15.2295,nan,
MIN,132,0,0.878693,14,21,2,0.930726,0,nan,
MAX,4667,0,0.981274,19,21,7,0.99527,31,nan,
