_repeat_id,n_configs,delta_locs,avg_mcc,cnt_exact,cnt_interactions,cnt_wrong,avg_f,_thread_id,wrong_locs
0,480,0,0.938356,38,65,27,0.943956,0,channel.c:1005 channel.c:1018 channel.c:1023 channel.c:249 channel.c:252 channel.c:320 channel.c:327 channel.c:340 channel.c:347 channel.c:458 channel.c:627 channel.c:669 client.c:1122 client.c:302 client.c:318 client.c:328 client.c:623 client.c:779 conf.c:305 conf.c:308 conn-func.c:39 conn.c:1351 irc-channel.c:337 irc-info.c:1100 irc-info.c:678 irc.c:200 parse.c:394 ,
1,1238,0,0.972499,48,65,17,0.974768,23,channel.c:1005 channel.c:1018 channel.c:1023 channel.c:249 channel.c:252 channel.c:320 channel.c:327 channel.c:347 channel.c:458 channel.c:627 channel.c:669 client.c:1122 client.c:302 client.c:328 conn-func.c:39 irc-info.c:1100 irc-info.c:678 ,
2,1486,0,0.976384,50,65,15,0.978270,31,channel.c:1005 channel.c:1018 channel.c:1023 channel.c:252 channel.c:320 channel.c:327 channel.c:347 channel.c:458 channel.c:627 channel.c:669 client.c:1122 client.c:328 conn-func.c:39 irc-info.c:1100 irc-info.c:678 ,
3,1647,0,0.978823,50,65,15,0.980517,27,channel.c:1005 channel.c:1018 channel.c:1023 channel.c:252 channel.c:320 channel.c:327 channel.c:347 channel.c:458 channel.c:627 channel.c:669 client.c:1122 client.c:328 conn-func.c:39 irc-info.c:1100 irc-info.c:678 ,
4,1792,0,0.979871,51,65,14,0.981406,4,channel.c:1005 channel.c:1018 channel.c:1023 channel.c:252 channel.c:327 channel.c:347 channel.c:458 channel.c:627 channel.c:669 client.c:1122 client.c:328 conn-func.c:39 irc-info.c:1100 irc-info.c:678 ,
5,1882,0,0.980669,51,65,14,0.982130,1,channel.c:1005 channel.c:1018 channel.c:1023 channel.c:252 channel.c:327 channel.c:347 channel.c:458 channel.c:627 channel.c:669 client.c:1122 client.c:328 conn-func.c:39 irc-info.c:1100 irc-info.c:678 ,
6,1962,0,0.981495,51,65,14,0.982836,3,channel.c:1005 channel.c:1018 channel.c:1023 channel.c:252 channel.c:327 channel.c:347 channel.c:458 channel.c:627 channel.c:669 client.c:1122 client.c:328 conn-func.c:39 irc-info.c:1100 irc-info.c:678 ,
7,2071,0,0.982930,52,65,13,0.984228,5,channel.c:1005 channel.c:1023 channel.c:252 channel.c:327 channel.c:347 channel.c:458 channel.c:627 channel.c:669 client.c:1122 client.c:328 conn-func.c:39 irc-info.c:1100 irc-info.c:678 ,
8,2157,0,0.982589,52,65,13,0.983898,7,channel.c:1005 channel.c:1023 channel.c:252 channel.c:327 channel.c:347 channel.c:458 channel.c:627 channel.c:669 client.c:1122 client.c:328 conn-func.c:39 irc-info.c:1100 irc-info.c:678 ,
9,2256,0,0.984002,52,65,13,0.985196,8,channel.c:1005 channel.c:1023 channel.c:252 channel.c:327 channel.c:347 channel.c:458 channel.c:627 channel.c:669 client.c:1122 client.c:328 conn-func.c:39 irc-info.c:1100 irc-info.c:678 ,
10,2320,0,0.984621,52,65,13,0.985714,6,channel.c:1005 channel.c:1023 channel.c:252 channel.c:327 channel.c:347 channel.c:458 channel.c:627 channel.c:669 client.c:1122 client.c:328 conn-func.c:39 irc-info.c:1100 irc-info.c:678 ,
11,2367,0,0.985161,52,65,13,0.986205,9,channel.c:1005 channel.c:1023 channel.c:252 channel.c:327 channel.c:347 channel.c:458 channel.c:627 channel.c:669 client.c:1122 client.c:328 conn-func.c:39 irc-info.c:1100 irc-info.c:678 ,
12,2389,0,0.985161,52,65,13,0.986205,10,channel.c:1005 channel.c:1023 channel.c:252 channel.c:327 channel.c:347 channel.c:458 channel.c:627 channel.c:669 client.c:1122 client.c:328 conn-func.c:39 irc-info.c:1100 irc-info.c:678 ,
13,2417,0,0.984935,52,65,13,0.986013,12,channel.c:1005 channel.c:1023 channel.c:252 channel.c:327 channel.c:347 channel.c:458 channel.c:627 channel.c:669 client.c:1122 client.c:328 conn-func.c:39 irc-info.c:1100 irc-info.c:678 ,
14,2457,0,0.985617,52,65,13,0.986666,11,channel.c:1005 channel.c:1023 channel.c:252 channel.c:327 channel.c:347 channel.c:458 channel.c:627 channel.c:669 client.c:1122 client.c:328 conn-func.c:39 irc-info.c:1100 irc-info.c:678 ,
15,2507,0,0.986646,52,65,13,0.987663,15,channel.c:1005 channel.c:1023 channel.c:252 channel.c:327 channel.c:347 channel.c:458 channel.c:627 channel.c:669 client.c:1122 client.c:328 conn-func.c:39 irc-info.c:1100 irc-info.c:678 ,
16,2595,0,0.986415,52,65,13,0.987422,18,channel.c:1005 channel.c:1023 channel.c:252 channel.c:327 channel.c:347 channel.c:458 channel.c:627 channel.c:669 client.c:1122 client.c:328 conn-func.c:39 irc-info.c:1100 irc-info.c:678 ,
17,2702,0,0.988144,53,65,12,0.989126,19,channel.c:1005 channel.c:1023 channel.c:252 channel.c:327 channel.c:347 channel.c:458 channel.c:627 client.c:1122 client.c:328 conn-func.c:39 irc-info.c:1100 irc-info.c:678 ,
18,2757,0,0.988671,53,65,12,0.989632,13,channel.c:1005 channel.c:1023 channel.c:252 channel.c:327 channel.c:347 channel.c:458 channel.c:627 client.c:1122 client.c:328 conn-func.c:39 irc-info.c:1100 irc-info.c:678 ,
19,2783,0,0.988708,53,65,12,0.989662,17,channel.c:1005 channel.c:1023 channel.c:252 channel.c:327 channel.c:347 channel.c:458 channel.c:627 client.c:1122 client.c:328 conn-func.c:39 irc-info.c:1100 irc-info.c:678 ,
20,2821,0,0.988891,53,65,12,0.989828,14,channel.c:1005 channel.c:1023 channel.c:252 channel.c:327 channel.c:347 channel.c:458 channel.c:627 client.c:1122 client.c:328 conn-func.c:39 irc-info.c:1100 irc-info.c:678 ,
21,2880,0,0.989397,53,65,12,0.990296,21,channel.c:1005 channel.c:1023 channel.c:252 channel.c:327 channel.c:347 channel.c:458 channel.c:627 client.c:1122 client.c:328 conn-func.c:39 irc-info.c:1100 irc-info.c:678 ,
22,2920,0,0.989343,53,65,12,0.990224,16,channel.c:1005 channel.c:1023 channel.c:252 channel.c:327 channel.c:347 channel.c:458 channel.c:627 client.c:1122 client.c:328 conn-func.c:39 irc-info.c:1100 irc-info.c:678 ,
23,2969,0,0.989425,53,65,12,0.990311,20,channel.c:1005 channel.c:1023 channel.c:252 channel.c:327 channel.c:347 channel.c:458 channel.c:627 client.c:1122 client.c:328 conn-func.c:39 irc-info.c:1100 irc-info.c:678 ,
