_repeat_id,n_configs,delta_locs,avg_mcc,cnt_exact,cnt_interactions,cnt_wrong,avg_f,_thread_id,wrong_locs
0,10,-17,0.382716,10,27,17,0.465335,7,system.h:634 uname.c:161 !uname.c:165 uname.c:202 uname.c:242 !uname.c:278 !uname.c:286 !uname.c:290 !uname.c:292 !uname.c:294 !uname.c:296 !uname.c:298 uname.c:303 uname.c:342 !uname.c:347 !uname.c:367 !uname.c:371 ,
1,38,-1,0.742778,14,27,13,0.795675,11,uname.c:165 uname.c:202 !uname.c:278 uname.c:286 uname.c:290 uname.c:292 uname.c:294 uname.c:296 uname.c:298 uname.c:303 uname.c:347 uname.c:367 uname.c:371 ,
2,58,-1,0.824026,15,27,12,0.868644,12,uname.c:165 uname.c:202 !uname.c:278 uname.c:286 uname.c:290 uname.c:294 uname.c:298 uname.c:303 uname.c:342 uname.c:347 uname.c:367 uname.c:371 ,
3,70,-1,0.897098,20,27,7,0.937163,10,uname.c:165 uname.c:202 !uname.c:278 uname.c:286 uname.c:290 uname.c:294 uname.c:371 ,
4,169,-1,0.922832,22,27,5,0.960572,0,uname.c:165 uname.c:202 !uname.c:278 uname.c:286 uname.c:290 ,
5,282,-1,0.923616,22,27,5,0.961184,3,uname.c:165 uname.c:202 !uname.c:278 uname.c:286 uname.c:290 ,
6,290,-1,0.923420,22,27,5,0.961034,1,uname.c:165 uname.c:202 !uname.c:278 uname.c:286 uname.c:290 ,
7,310,-1,0.924205,22,27,5,0.961647,2,uname.c:165 uname.c:202 !uname.c:278 uname.c:286 uname.c:290 ,
8,316,-1,0.923420,22,27,5,0.961034,5,uname.c:165 uname.c:202 !uname.c:278 uname.c:286 uname.c:290 ,
9,439,-1,0.924205,22,27,5,0.961647,6,uname.c:165 uname.c:202 !uname.c:278 uname.c:286 uname.c:290 ,
10,441,-1,0.924205,22,27,5,0.961647,4,uname.c:165 uname.c:202 !uname.c:278 uname.c:286 uname.c:290 ,
11,562,0,0.942833,22,27,5,0.966003,8,uname.c:165 uname.c:202 uname.c:278 uname.c:286 uname.c:290 ,
12,676,0,0.951173,22,27,5,0.970429,31,uname.c:165 uname.c:202 uname.c:278 uname.c:286 uname.c:290 ,

MED,290,-1,0.92342,22,27,5,0.961034,6,nan,
SIR,188,0,0.0318213,2.25,0,2.25,0.0293715,4,nan,
MEAN,281.615,-2.07692,0.862041,19.7692,27,7.23077,0.902463,7.69231,nan,
MIN,10,-17,0.382716,10,27,5,0.465335,0,nan,
MAX,676,0,0.951173,22,27,17,0.970429,31,nan,
