_repeat_id,_thread_id,delta_locs,avg_mcc,cnt_exact,cnt_interactions,cnt_wrong,avg_f,n_configs,wrong_locs
0,4,0,0.969966,23,27,4,0.987007,2304,cat.c:152 cat.c:197 cat.c:483 cat.c:579 ,
1,9,0,0.977635,23,27,4,0.987006,2304,cat.c:152 cat.c:197 cat.c:483 cat.c:579 ,
2,0,0,0.956857,23,27,4,0.974652,2304,cat.c:152 cat.c:197 cat.c:483 cat.c:579 ,
3,1,0,0.970572,24,27,3,0.987605,2304,cat.c:152 cat.c:197 cat.c:579 ,
4,2,0,0.938345,23,27,4,0.974661,2304,cat.c:152 cat.c:197 cat.c:483 cat.c:579 ,
5,7,0,0.943776,23,27,4,0.980834,2304,cat.c:152 cat.c:197 cat.c:483 cat.c:579 ,
6,3,0,0.969345,23,27,4,0.980226,2304,cat.c:152 cat.c:197 cat.c:483 cat.c:579 ,
7,10,-10,0.914425,22,27,5,0.949989,2304,!cat.c:152 cat.c:197 cat.c:483 cat.c:579 cat.c:708 ,
8,5,0,0.947584,23,27,4,0.969695,2304,cat.c:152 cat.c:197 cat.c:483 cat.c:579 ,
9,8,0,0.975387,24,27,3,0.999325,2304,cat.c:197 cat.c:483 cat.c:579 ,
10,6,0,0.962915,25,27,2,0.999959,2304,cat.c:197 cat.c:579 ,

MED,5,0,0.962915,23,27,4,0.980834,2304,nan,
SIR,3,0,0.0133982,0.5,0,0.5,0.00647644,0,nan,
MEAN,5,-0.909091,0.956982,23.2727,27,3.72727,0.980996,2304,nan,
