_repeat_id,_thread_id,delta_locs,avg_mcc,cnt_exact,cnt_interactions,cnt_wrong,avg_f,n_configs,wrong_locs
0,9,0,0.997644,14,17,3,0.997707,14359,date.c:469 date.c:478 date.c:479 ,
1,8,0,0.997810,14,17,3,0.997871,14359,date.c:469 date.c:478 date.c:479 ,
2,2,0,0.966061,12,17,5,0.966067,14359,date.c:469 date.c:478 date.c:479 date.c:492 date.c:494 ,
3,1,0,0.968478,14,17,3,0.968562,14359,date.c:469 date.c:478 date.c:494 ,
4,10,0,0.995538,14,17,3,0.995494,14359,date.c:469 date.c:478 date.c:479 ,
5,7,0,0.976108,13,17,4,0.972584,14359,date.c:469 date.c:478 date.c:479 date.c:494 ,
6,4,0,0.997348,14,17,3,0.997391,14359,date.c:469 date.c:478 date.c:479 ,
7,0,0,0.959403,13,17,4,0.953507,14359,date.c:469 date.c:478 date.c:494 date.c:590 ,
8,6,0,0.968522,12,17,5,0.968563,14359,date.c:469 date.c:478 date.c:479 date.c:492 date.c:590 ,
9,3,0,0.980266,13,17,4,0.977927,14359,date.c:469 date.c:478 date.c:479 date.c:494 ,
10,5,0,0.969283,14,17,3,0.969338,14359,date.c:469 date.c:478 date.c:494 ,

MED,5,0,0.976108,14,17,3,0.972584,14359,nan,
SIR,3,0,0.0144347,0.5,0,0.5,0.0144144,0,nan,
MEAN,5,0,0.979678,13.3636,17,3.63636,0.978637,14359,nan,
