_repeat_id,_thread_id,delta_locs,avg_mcc,cnt_exact,cnt_interactions,cnt_wrong,avg_f,n_configs,wrong_locs
0,4,0,1.000000,17,17,0,1.000000,7644,,
1,9,0,1.000000,17,17,0,1.000000,7644,,
2,3,0,1.000000,17,17,0,1.000000,7644,,
3,10,0,1.000000,17,17,0,1.000000,7644,,
4,2,0,1.000000,17,17,0,1.000000,7644,,
5,6,0,1.000000,17,17,0,1.000000,7644,,
6,0,0,1.000000,17,17,0,1.000000,7644,,
7,8,0,1.000000,17,17,0,1.000000,7644,,
8,5,0,1.000000,17,17,0,1.000000,7644,,
9,1,0,1.000000,17,17,0,1.000000,7644,,
10,7,0,1.000000,17,17,0,1.000000,7644,,

MED,5,0,1,17,17,0,1,7644,nan,
SIR,3,0,0,0,0,0,0,0,nan,
MEAN,5,0,1,17,17,0,1,7644,nan,
