_repeat_id,_thread_id,delta_locs,avg_mcc,cnt_exact,cnt_interactions,cnt_wrong,avg_f,n_configs,wrong_locs
0,9,0,0.921365,21,32,11,0.934769,622,id.c:142 id.c:203 id.c:206 id.c:207 id.c:215 id.c:220 id.c:275 id.c:277 id.c:286 id.c:325 id.c:444 ,
1,8,0,0.957460,24,32,8,0.970540,622,id.c:142 id.c:207 id.c:215 id.c:220 id.c:275 id.c:286 id.c:325 id.c:444 ,
2,0,0,0.958438,24,32,8,0.964657,622,id.c:142 id.c:206 id.c:207 id.c:215 id.c:275 id.c:286 id.c:325 id.c:444 ,
3,2,-1,0.893535,21,32,11,0.924353,622,id.c:142 id.c:203 id.c:206 !id.c:207 id.c:215 id.c:220 id.c:275 id.c:277 id.c:286 id.c:325 id.c:444 ,
4,4,0,0.907249,22,32,10,0.921073,622,id.c:142 id.c:207 id.c:215 id.c:220 id.c:275 id.c:277 id.c:286 id.c:325 id.c:341 id.c:444 ,
5,7,0,0.941820,23,32,9,0.970787,622,id.c:142 id.c:206 id.c:207 id.c:215 id.c:220 id.c:275 id.c:277 id.c:286 id.c:444 ,
6,10,0,0.924467,22,32,10,0.953253,622,id.c:142 id.c:207 id.c:215 id.c:220 id.c:275 id.c:277 id.c:286 id.c:325 id.c:341 id.c:444 ,
7,1,0,0.957608,26,32,6,0.973457,622,id.c:142 id.c:206 id.c:207 id.c:215 id.c:275 id.c:286 ,
8,6,0,0.920660,23,32,9,0.952320,622,id.c:142 id.c:207 id.c:215 id.c:220 id.c:275 id.c:277 id.c:286 id.c:325 id.c:444 ,
9,5,-32,0.905759,22,32,10,0.935877,622,id.c:142 id.c:206 id.c:207 id.c:215 !id.c:220 id.c:275 id.c:277 id.c:286 id.c:325 id.c:444 ,
10,3,0,0.978713,28,32,4,0.986675,622,id.c:142 id.c:206 id.c:207 id.c:275 ,

MED,5,0,0.924467,23,32,9,0.953253,622,nan,
SIR,3,0,0.0251793,1,0,1,0.0180089,0,nan,
MEAN,5,-3,0.933371,23.2727,32,8.72727,0.953433,622,nan,
