_repeat_id,_thread_id,delta_locs,avg_mcc,cnt_exact,cnt_interactions,cnt_wrong,avg_f,n_configs,wrong_locs
0,9,0,0.999488,32,33,1,0.999989,4639,join.c:1147 ,
1,5,0,0.984713,31,33,2,0.984846,4639,join.c:1147 join.c:998 ,
2,0,0,0.990922,30,33,3,0.991064,4639,join.c:1147 join.c:839 join.c:998 ,
3,7,0,0.995664,30,33,3,0.995646,4639,join.c:1147 join.c:839 join.c:998 ,
4,1,0,0.994315,31,33,2,0.993937,4639,join.c:1147 join.c:998 ,
5,4,0,0.987067,31,33,2,0.984846,4639,join.c:1147 join.c:998 ,
6,10,0,0.984528,30,33,3,0.984820,4639,join.c:1147 join.c:839 join.c:998 ,
7,8,0,0.999567,32,33,1,0.999991,4639,join.c:1147 ,
8,2,0,0.994395,31,33,2,0.993939,4639,join.c:1147 join.c:998 ,
9,3,0,0.999722,32,33,1,0.999994,4639,join.c:1147 ,
10,6,0,0.988124,31,33,2,0.987876,4639,join.c:1147 join.c:998 ,

MED,5,0,0.994315,31,33,2,0.993937,4639,nan,
SIR,3,0,0.00621074,1,0,1,0.00757156,0,nan,
MEAN,5,0,0.992591,31,33,2,0.99245,4639,nan,
