_repeat_id,_thread_id,delta_locs,avg_mcc,cnt_exact,cnt_interactions,cnt_wrong,avg_f,n_configs,wrong_locs
0,5,0,0.960000,24,25,1,0.999998,2995,ln.c:495 ,
1,0,0,0.960000,24,25,1,0.999998,2995,ln.c:495 ,
2,8,0,0.960000,24,25,1,0.999998,2995,ln.c:495 ,
3,3,0,0.960000,24,25,1,0.999998,2995,ln.c:495 ,
4,9,0,0.960000,24,25,1,0.999998,2995,ln.c:495 ,
5,1,0,0.960000,24,25,1,0.999998,2995,ln.c:495 ,
6,2,0,0.960000,24,25,1,0.999998,2995,ln.c:495 ,
7,4,0,0.960000,24,25,1,0.999998,2995,ln.c:495 ,
8,6,0,0.960000,24,25,1,0.999998,2995,ln.c:495 ,
9,10,0,0.960000,24,25,1,0.999998,2995,ln.c:495 ,
10,7,0,0.960000,24,25,1,0.999998,2995,ln.c:495 ,

MED,5,0,0.96,24,25,1,0.999998,2995,nan,
SIR,3,0,0,0,0,0,0,0,nan,
MEAN,5,0,0.96,24,25,1,0.999998,2995,nan,
