_repeat_id,_thread_id,delta_locs,avg_mcc,cnt_exact,cnt_interactions,cnt_wrong,avg_f,n_configs,wrong_locs
0,3,0,0.983601,19,21,2,0.997489,4764,mv.c:178 mv.c:367 ,
1,7,0,0.983829,19,21,2,0.997728,4764,mv.c:178 mv.c:367 ,
2,5,0,0.991486,20,21,1,0.991342,4764,mv.c:178 ,
3,8,0,0.995842,20,21,1,0.995671,4764,mv.c:178 ,
4,4,0,0.980183,19,21,2,0.993784,4764,mv.c:178 mv.c:367 ,
5,9,0,0.986509,20,21,1,0.985994,4764,mv.c:178 ,
6,6,0,0.986049,20,21,1,0.999995,4764,mv.c:367 ,
7,2,0,0.983829,19,21,2,0.997728,4764,mv.c:178 mv.c:367 ,
8,0,0,0.985762,20,21,1,0.985507,4764,mv.c:178 ,
9,1,0,0.981892,19,21,2,0.995666,4764,mv.c:178 mv.c:367 ,
10,10,0,0.994133,20,21,1,0.993789,4764,mv.c:178 ,

MED,5,0,0.985762,20,21,1,0.995666,4764,nan,
SIR,3,0,0.00394239,0.5,0,0.5,0.00319289,0,nan,
MEAN,5,0,0.986647,19.5455,21,1.45455,0.994063,4764,nan,
