_repeat_id,_thread_id,delta_locs,avg_mcc,cnt_exact,cnt_interactions,cnt_wrong,avg_f,n_configs,wrong_locs
0,1,0,0.999784,61,65,4,0.999803,45509,channel.c:1023 channel.c:458 client.c:1122 client.c:328 ,
1,9,0,0.999750,61,65,4,0.999773,45509,channel.c:1023 channel.c:458 client.c:1122 client.c:328 ,
2,2,0,0.999743,61,65,4,0.999766,45509,channel.c:1023 channel.c:458 client.c:1122 client.c:328 ,
3,10,0,0.999884,62,65,3,0.999895,45509,channel.c:1023 channel.c:458 client.c:328 ,
4,0,0,0.999799,62,65,3,0.999818,45509,channel.c:1023 channel.c:458 client.c:328 ,
5,7,0,0.999750,61,65,4,0.999772,45509,channel.c:1023 channel.c:458 client.c:1122 client.c:328 ,
6,3,0,0.999761,61,65,4,0.999781,45509,channel.c:1023 channel.c:458 client.c:1122 client.c:328 ,
7,4,0,0.999842,62,65,3,0.999855,45509,channel.c:1023 channel.c:458 client.c:328 ,
8,5,0,0.999734,60,65,5,0.999759,45509,channel.c:1023 channel.c:458 client.c:1122 client.c:328 irc-info.c:1100 ,
9,8,0,0.999790,62,65,3,0.999808,45509,channel.c:1023 channel.c:458 client.c:328 ,
10,6,0,0.999746,61,65,4,0.999767,45509,channel.c:1023 channel.c:458 client.c:1122 client.c:328 ,

MED,5,0,0.999761,61,65,4,0.999781,45509,nan,
SIR,3,0,2.67403e-05,0.5,0,0.5,2.56654e-05,0,nan,
MEAN,5,0,0.99978,61.2727,65,3.72727,0.9998,45509,nan,
