_repeat_id,_thread_id,delta_locs,avg_mcc,cnt_exact,cnt_interactions,cnt_wrong,avg_f,n_configs,wrong_locs
0,5,0,0.949099,78,151,73,0.948321,186801,sort.c:1768 sort.c:1840 sort.c:1907 sort.c:1922 sort.c:1941 sort.c:1955 sort.c:1962 sort.c:1977 sort.c:1993 sort.c:2019 sort.c:2032 sort.c:2050 sort.c:2056 sort.c:2079 sort.c:2270 sort.c:2284 sort.c:2288 sort.c:2298 sort.c:2315 sort.c:2321 sort.c:2323 sort.c:2335 sort.c:2338 sort.c:2530 sort.c:2557 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2612 sort.c:2614 sort.c:2615 sort.c:2640 sort.c:2664 sort.c:2665 sort.c:2668 sort.c:2670 sort.c:2671 sort.c:2673 sort.c:2678 sort.c:2683 sort.c:2688 sort.c:2692 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2727 sort.c:2735 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2767 sort.c:2778 sort.c:2804 sort.c:2817 sort.c:2843 sort.c:2845 sort.c:2862 sort.c:2865 sort.c:2888 sort.c:3029 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3320 sort.c:3431 sort.c:3492 sort.c:3497 sort.c:3938 sort.c:4674 ,
1,8,0,0.949666,84,151,67,0.949394,186801,sort.c:1768 sort.c:1840 sort.c:1907 sort.c:1922 sort.c:1941 sort.c:1955 sort.c:1962 sort.c:1977 sort.c:1990 sort.c:1993 sort.c:2019 sort.c:2032 sort.c:2050 sort.c:2056 sort.c:2079 sort.c:2270 sort.c:2281 sort.c:2288 sort.c:2298 sort.c:2343 sort.c:2530 sort.c:2557 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2612 sort.c:2614 sort.c:2615 sort.c:2640 sort.c:2664 sort.c:2665 sort.c:2668 sort.c:2670 sort.c:2671 sort.c:2673 sort.c:2678 sort.c:2683 sort.c:2688 sort.c:2692 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2727 sort.c:2735 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2767 sort.c:2817 sort.c:2843 sort.c:2862 sort.c:2865 sort.c:2888 sort.c:3006 sort.c:3029 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3431 sort.c:3492 sort.c:3497 sort.c:3938 sort.c:4674 ,
2,3,0,0.954620,83,151,68,0.954382,186801,sort.c:1768 sort.c:1840 sort.c:1907 sort.c:1922 sort.c:1941 sort.c:1955 sort.c:1962 sort.c:1977 sort.c:1990 sort.c:1993 sort.c:2019 sort.c:2032 sort.c:2050 sort.c:2056 sort.c:2079 sort.c:2270 sort.c:2281 sort.c:2288 sort.c:2298 sort.c:2338 sort.c:2343 sort.c:2530 sort.c:2557 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2612 sort.c:2614 sort.c:2615 sort.c:2640 sort.c:2665 sort.c:2668 sort.c:2670 sort.c:2671 sort.c:2678 sort.c:2683 sort.c:2688 sort.c:2692 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2727 sort.c:2735 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2767 sort.c:2778 sort.c:2804 sort.c:2817 sort.c:2843 sort.c:2845 sort.c:2862 sort.c:2865 sort.c:2888 sort.c:3006 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3320 sort.c:3492 sort.c:3497 sort.c:4674 sort.c:987 ,
3,1,0,0.951244,78,151,73,0.950949,186801,sort.c:1768 sort.c:1907 sort.c:1922 sort.c:1941 sort.c:1955 sort.c:1962 sort.c:1977 sort.c:1990 sort.c:1993 sort.c:2032 sort.c:2050 sort.c:2056 sort.c:2079 sort.c:2270 sort.c:2281 sort.c:2288 sort.c:2298 sort.c:2323 sort.c:2335 sort.c:2338 sort.c:2343 sort.c:2381 sort.c:2530 sort.c:2557 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2612 sort.c:2614 sort.c:2615 sort.c:2640 sort.c:2664 sort.c:2665 sort.c:2668 sort.c:2670 sort.c:2671 sort.c:2673 sort.c:2678 sort.c:2683 sort.c:2688 sort.c:2692 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2727 sort.c:2735 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2767 sort.c:2778 sort.c:2804 sort.c:2817 sort.c:2843 sort.c:2845 sort.c:2862 sort.c:2865 sort.c:2888 sort.c:3149 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3320 sort.c:3431 sort.c:3492 sort.c:3497 sort.c:4674 sort.c:4759 sort.c:987 ,
4,0,0,0.944580,81,151,70,0.943685,186801,sort.c:1768 sort.c:1840 sort.c:1907 sort.c:1922 sort.c:1941 sort.c:1955 sort.c:1962 sort.c:1977 sort.c:1990 sort.c:1993 sort.c:2019 sort.c:2032 sort.c:2056 sort.c:2079 sort.c:2270 sort.c:2281 sort.c:2288 sort.c:2298 sort.c:2323 sort.c:2335 sort.c:2337 sort.c:2338 sort.c:2343 sort.c:2530 sort.c:2557 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2612 sort.c:2614 sort.c:2615 sort.c:2640 sort.c:2665 sort.c:2668 sort.c:2670 sort.c:2671 sort.c:2673 sort.c:2678 sort.c:2683 sort.c:2688 sort.c:2692 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2727 sort.c:2735 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2767 sort.c:2778 sort.c:2804 sort.c:2817 sort.c:2843 sort.c:2845 sort.c:2862 sort.c:2865 sort.c:2888 sort.c:3029 sort.c:3173 sort.c:3212 sort.c:3492 sort.c:3497 sort.c:3938 sort.c:4674 sort.c:987 ,
5,2,0,0.954627,87,151,64,0.954244,186801,sort.c:1768 sort.c:1830 sort.c:1907 sort.c:1922 sort.c:1955 sort.c:1962 sort.c:1977 sort.c:1990 sort.c:1993 sort.c:2019 sort.c:2032 sort.c:2056 sort.c:2079 sort.c:2270 sort.c:2288 sort.c:2298 sort.c:2323 sort.c:2335 sort.c:2338 sort.c:2381 sort.c:2530 sort.c:2557 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2612 sort.c:2640 sort.c:2664 sort.c:2665 sort.c:2668 sort.c:2670 sort.c:2671 sort.c:2673 sort.c:2678 sort.c:2683 sort.c:2688 sort.c:2692 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2727 sort.c:2735 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2767 sort.c:2817 sort.c:2843 sort.c:2862 sort.c:2865 sort.c:2888 sort.c:3029 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3320 sort.c:3492 sort.c:3497 sort.c:4674 sort.c:987 ,
6,6,0,0.946452,86,151,65,0.946098,186801,sort.c:1768 sort.c:1907 sort.c:1922 sort.c:1941 sort.c:1955 sort.c:1962 sort.c:1977 sort.c:1990 sort.c:1993 sort.c:2019 sort.c:2032 sort.c:2050 sort.c:2056 sort.c:2079 sort.c:2270 sort.c:2288 sort.c:2298 sort.c:2338 sort.c:2343 sort.c:2530 sort.c:2557 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2612 sort.c:2614 sort.c:2615 sort.c:2640 sort.c:2664 sort.c:2665 sort.c:2668 sort.c:2670 sort.c:2671 sort.c:2673 sort.c:2678 sort.c:2683 sort.c:2688 sort.c:2692 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2727 sort.c:2735 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2767 sort.c:2817 sort.c:2843 sort.c:2862 sort.c:2865 sort.c:2888 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3320 sort.c:3492 sort.c:3497 sort.c:3938 sort.c:4674 sort.c:987 ,
7,9,0,0.952431,85,151,66,0.952157,186801,sort.c:1768 sort.c:1840 sort.c:1907 sort.c:1922 sort.c:1941 sort.c:1955 sort.c:1962 sort.c:1977 sort.c:1990 sort.c:1993 sort.c:2019 sort.c:2032 sort.c:2050 sort.c:2056 sort.c:2079 sort.c:2281 sort.c:2298 sort.c:2337 sort.c:2338 sort.c:2530 sort.c:2557 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2612 sort.c:2614 sort.c:2615 sort.c:2640 sort.c:2664 sort.c:2665 sort.c:2668 sort.c:2670 sort.c:2671 sort.c:2673 sort.c:2678 sort.c:2683 sort.c:2688 sort.c:2692 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2727 sort.c:2735 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2767 sort.c:2817 sort.c:2843 sort.c:2862 sort.c:2865 sort.c:2888 sort.c:3004 sort.c:3006 sort.c:3029 sort.c:3169 sort.c:3173 sort.c:3212 sort.c:3320 sort.c:3492 sort.c:3497 sort.c:4674 ,
8,7,0,0.950367,84,151,67,0.950029,186801,sort.c:1768 sort.c:1830 sort.c:1907 sort.c:1922 sort.c:1941 sort.c:1955 sort.c:1962 sort.c:1977 sort.c:1990 sort.c:1993 sort.c:2019 sort.c:2032 sort.c:2056 sort.c:2079 sort.c:2270 sort.c:2284 sort.c:2288 sort.c:2298 sort.c:2530 sort.c:2557 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2612 sort.c:2640 sort.c:2664 sort.c:2665 sort.c:2668 sort.c:2670 sort.c:2671 sort.c:2673 sort.c:2678 sort.c:2683 sort.c:2688 sort.c:2692 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2727 sort.c:2735 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2767 sort.c:2778 sort.c:2804 sort.c:2817 sort.c:2843 sort.c:2845 sort.c:2862 sort.c:2865 sort.c:2888 sort.c:3004 sort.c:3006 sort.c:3029 sort.c:3173 sort.c:3212 sort.c:3320 sort.c:3431 sort.c:3492 sort.c:3497 sort.c:4674 sort.c:987 ,
9,10,0,0.949415,84,151,67,0.949079,186801,sort.c:1768 sort.c:1830 sort.c:1907 sort.c:1922 sort.c:1941 sort.c:1955 sort.c:1962 sort.c:1977 sort.c:1990 sort.c:1993 sort.c:2019 sort.c:2032 sort.c:2056 sort.c:2079 sort.c:2270 sort.c:2281 sort.c:2288 sort.c:2298 sort.c:2337 sort.c:2338 sort.c:2381 sort.c:2530 sort.c:2557 sort.c:2558 sort.c:2570 sort.c:2590 sort.c:2591 sort.c:2604 sort.c:2610 sort.c:2612 sort.c:2640 sort.c:2664 sort.c:2665 sort.c:2668 sort.c:2670 sort.c:2671 sort.c:2673 sort.c:2678 sort.c:2683 sort.c:2688 sort.c:2692 sort.c:2695 sort.c:2696 sort.c:2698 sort.c:2727 sort.c:2735 sort.c:2747 sort.c:2752 sort.c:2755 sort.c:2757 sort.c:2767 sort.c:2778 sort.c:2804 sort.c:2817 sort.c:2843 sort.c:2845 sort.c:2862 sort.c:2865 sort.c:2888 sort.c:3173 sort.c:3212 sort.c:3320 sort.c:3492 sort.c:3497 sort.c:3992 sort.c:4674 sort.c:987 ,
