_repeat_id,_thread_id,delta_locs,avg_mcc,cnt_exact,cnt_interactions,cnt_wrong,avg_f,n_configs,wrong_locs
0,8,0,0.962389,22,27,5,0.977334,784,uname.c:165 uname.c:202 uname.c:278 uname.c:286 uname.c:290 ,
1,6,0,0.977891,22,27,5,0.987340,784,uname.c:165 uname.c:202 uname.c:278 uname.c:286 uname.c:290 ,
2,9,-1,0.925182,22,27,5,0.962387,784,uname.c:165 uname.c:202 !uname.c:278 uname.c:286 uname.c:290 ,
3,4,-1,0.925576,22,27,5,0.962686,784,uname.c:165 uname.c:202 !uname.c:278 uname.c:286 uname.c:290 ,
4,7,-1,0.925087,22,27,5,0.962318,784,uname.c:165 uname.c:202 !uname.c:278 uname.c:286 uname.c:290 ,
5,3,-1,0.925087,22,27,5,0.962318,784,uname.c:165 uname.c:202 !uname.c:278 uname.c:286 uname.c:290 ,
6,2,0,0.962087,23,27,4,0.977086,784,uname.c:165 uname.c:202 uname.c:278 uname.c:290 ,
7,10,-1,0.925526,22,27,5,0.962649,784,uname.c:165 uname.c:202 !uname.c:278 uname.c:286 uname.c:290 ,
8,0,-1,0.925379,22,27,5,0.962538,784,uname.c:165 uname.c:202 !uname.c:278 uname.c:286 uname.c:290 ,
9,1,-1,0.925379,22,27,5,0.962538,784,uname.c:165 uname.c:202 !uname.c:278 uname.c:286 uname.c:290 ,
10,5,-1,0.925280,22,27,5,0.962463,784,uname.c:165 uname.c:202 !uname.c:278 uname.c:286 uname.c:290 ,

MED,5,-1,0.925379,22,27,5,0.962538,784,nan,
SIR,3,0.5,0.0184526,0,0,0,0.00734942,0,nan,
MEAN,5,-0.727273,0.936806,22.0909,27,4.90909,0.967423,784,nan,
